"","x","y","value","soiltype","prob"
"1",10,10,0.000604444517721305,"1",0.149551602214811
"2",10,30,0.000751117030213072,"1",0.145882510480871
"3",10,50,0.000854077047660152,"1",0.146456370143094
"4",10,70,0.000931512980328498,"1",0.150809539270407
"5",10,90,0.000998291622483781,"1",0.155552362803643
"6",10,110,0.00105183506565327,"1",0.156079828335652
"7",10,130,0.00108600235743137,"1",0.151237662828137
"8",10,150,0.001112979473085,"1",0.145306213215569
"9",10,170,0.00115915850755433,"1",0.144061649769549
"10",10,190,0.00122397569217654,"1",0.148501572652187
"11",10,210,0.00125707951557347,"1",0.15314088525027
"12",10,230,0.00120874535236384,"1",0.151922853853682
"13",10,250,0.00109489710319641,"1",0.144566488427678
"14",10,270,0.000989109075243597,"1",0.136493661797653
"15",10,290,0.00094799726721176,"1",0.133347098433857
"16",10,310,0.000980732991619956,"1",0.136663417077691
"17",10,330,0.0010672908138972,"1",0.144378986974831
"18",10,350,0.00116754831977557,"1",0.153130325627846
"19",10,370,0.00123034745565386,"1",0.160284436588414
"20",10,390,0.0012166953055816,"1",0.164862532487156
"21",10,410,0.00111934967674503,"1",0.166707147785894
"22",10,430,0.000960593581045399,"1",0.165272135713473
"23",10,450,0.000773266718134819,"1",0.160222996115687
"24",10,470,0.000582589614901104,"1",0.153007400078037
"25",10,490,0.000403364558882484,"1",0.146431287821239
"26",30,10,0.000787183963568507,"1",0.145892514876974
"27",30,30,0.00097410373673763,"1",0.142563777414652
"28",30,50,0.00108838721219191,"1",0.140737291905989
"29",30,70,0.00115659124292413,"1",0.14027911469019
"30",30,90,0.00121023771572863,"1",0.139849898606831
"31",30,110,0.0012597872834185,"1",0.137837380369167
"32",30,130,0.00130528052101568,"1",0.134463495074303
"33",30,150,0.0013596663869491,"1",0.132560469553424
"34",30,170,0.00144508332166151,"1",0.135386416546804
"35",30,190,0.00155078455896551,"1",0.142614555598528
"36",30,210,0.00161193564761611,"1",0.149255362461986
"37",30,230,0.00156954985094229,"1",0.150554913294605
"38",30,250,0.00144516182597441,"1",0.146670227974735
"39",30,270,0.00132500722567677,"1",0.14157871960828
"40",30,290,0.00126404967313176,"1",0.138321492291609
"41",30,310,0.001259182678385,"1",0.137115111788136
"42",30,330,0.00129442078075267,"1",0.13790106242288
"43",30,350,0.00135490144787456,"1",0.141289818955147
"44",30,370,0.0014089222821371,"1",0.14696567501336
"45",30,390,0.00140918387181548,"1",0.153149937756278
"46",30,410,0.00132286585697397,"1",0.157273186139941
"47",30,430,0.00115459628354021,"1",0.15680090708482
"48",30,450,0.000937992614598857,"1",0.151045935144394
"49",30,470,0.000709067054434158,"1",0.14252842322976
"50",30,490,0.000492046837052519,"1",0.135127672757322
"51",50,10,0.000929252367287366,"1",0.147145727036116
"52",50,30,0.00115219478363103,"1",0.144247892281618
"53",50,50,0.00127565006177657,"1",0.140602405324808
"54",50,70,0.00132988705433641,"1",0.136292575019758
"55",50,90,0.00136303229109929,"1",0.131791303296085
"56",50,110,0.00140350803640657,"1",0.127982166473673
"57",50,130,0.00146076600637262,"1",0.126053710435607
"58",50,150,0.00154384942868361,"1",0.127467525564008
"59",50,170,0.00166063293659899,"1",0.133203771198301
"60",50,190,0.0017865637634247,"1",0.141777026872075
"61",50,210,0.00185328430000937,"1",0.148958305303554
"62",50,230,0.0018096144136215,"1",0.151590491232957
"63",50,250,0.00168870871508292,"1",0.150457982462468
"64",50,270,0.00157954131321913,"1",0.148296707475367
"65",50,290,0.00152063140331178,"1",0.145792613611884
"66",50,310,0.00148903658450586,"1",0.142036439671003
"67",50,330,0.00147162499237845,"1",0.138294977001103
"68",50,350,0.00148253839810272,"1",0.137805384192783
"69",50,370,0.00151643801685337,"1",0.141944536960941
"70",50,390,0.00152425899202986,"1",0.148453624093806
"71",50,410,0.00145084811173261,"1",0.153013726537791
"72",50,430,0.00128250936080652,"1",0.151829686886371
"73",50,450,0.00105006280158205,"1",0.144429589119362
"74",50,470,0.000796241132194093,"1",0.13436944496552
"75",50,490,0.000552605272883124,"1",0.126057036416158
"76",70,10,0.00101438131202654,"1",0.154738374159094
"77",70,30,0.00126743190704081,"1",0.151489449862664
"78",70,50,0.00139704667043529,"1",0.144998561558366
"79",70,70,0.00143068743409198,"1",0.135719475612469
"80",70,90,0.00143301474144609,"1",0.126344535657119
"81",70,110,0.00145730473870659,"1",0.120469038748975
"82",70,130,0.00152694174221127,"1",0.120176812418924
"83",70,150,0.00164052704943666,"1",0.125351749557165
"84",70,170,0.0017776572726989,"1",0.134248757330857
"85",70,190,0.00189490144062217,"1",0.143839447812095
"86",70,210,0.0019357224808935,"1",0.150839350968954
"87",70,230,0.00188064306604177,"1",0.154253748462975
"88",70,250,0.00178285063705414,"1",0.155918061087177
"89",70,270,0.00172016571271435,"1",0.157260776173387
"90",70,290,0.00169395418745585,"1",0.156242086335729
"91",70,310,0.00165085639772487,"1",0.150747148431843
"92",70,330,0.00157893314668267,"1",0.143039558537237
"93",70,350,0.0015265726993117,"1",0.138419852150433
"94",70,370,0.00152447102309586,"1",0.139947988518855
"95",70,390,0.00153095528781692,"1",0.145253130162445
"96",70,410,0.00147308287083283,"1",0.148716509898188
"97",70,430,0.00131789696275293,"1",0.145920967775497
"98",70,450,0.00108841499529207,"1",0.136956851291933
"99",70,470,0.000828390503471661,"1",0.125950005979058
"100",70,490,0.000573790329438527,"1",0.117121466840599
"101",90,10,0.00107585370951961,"1",0.169491514152543
"102",90,30,0.00135938755450005,"1",0.165111189018718
"103",90,50,0.00150550627723664,"1",0.155643920674947
"104",90,70,0.00153647256341536,"1",0.142193422982144
"105",90,90,0.00152823177076579,"1",0.129386665295816
"106",90,110,0.00155317718073183,"1",0.122529752240573
"107",90,130,0.0016430189436329,"1",0.123839307679587
"108",90,150,0.00178220504187035,"1",0.13172745469966
"109",90,170,0.00192310854013656,"1",0.142302126974001
"110",90,190,0.00200940840938795,"1",0.151418692866125
"111",90,210,0.00200356685316335,"1",0.156796226932229
"112",90,230,0.00192135746986895,"1",0.15950763751193
"113",90,250,0.00183483243905805,"1",0.162486009924334
"114",90,270,0.00180955971045936,"1",0.166104682749599
"115",90,290,0.00181348379969406,"1",0.166074988283103
"116",90,310,0.00176757407905853,"1",0.159502283062234
"117",90,330,0.00165849789316624,"1",0.149267676050731
"118",90,350,0.00155876923132943,"1",0.141635285433848
"119",90,370,0.00152690475267403,"1",0.140624161371633
"120",90,390,0.00152981931106775,"1",0.144065900115874
"121",90,410,0.00148417650171746,"1",0.146058993527129
"122",90,430,0.00134330906220778,"1",0.142422960626093
"123",90,450,0.00112244007005921,"1",0.133613214619252
"124",90,470,0.000862775607287579,"1",0.123422070985385
"125",90,490,0.000601198131475118,"1",0.115373271971227
"126",110,10,0.00109001301252044,"1",0.187435378862779
"127",110,30,0.00140478025005824,"1",0.182794561735447
