x,y,Al,Ca,Fe,K,Mg,Mn,P,Zn,pH
4,19,207.540698962877,177.10724916976,118.894475171008,96.3226909090044,46.0112842889112,6.3563157556583,0.0018432981169687,0.495085432557897,5.53691865481424
4,20,205.496253748559,189.782437473644,116.684170244812,99.0073284291641,43.8796182508599,7.52813948812035,0.00453988607704557,0.494525165697382,5.51739398255501
5,1,225.000529571936,211.338064616246,112.422277591265,96.1247129486064,37.6899997981813,10.1074549532103,0.000385754956974508,0.503653608177733,5.4831258288672
5,2,218.813239371519,241.844276720175,121.724191035828,95.8746305772504,42.3434108181582,10.5411501472607,0.00121484763336682,0.53989824305094,5.5089202202737
5,3,207.142971422627,326.891393199136,141.951471952984,97.5586866554277,51.7256613507465,11.6584448860761,0.0738608806388648,0.665537904936667,5.58505613029752
5,4,201.354236633244,372.791510058403,142.490000942379,100.504707229016,54.615572872606,11.5355030862547,0.460061705047497,0.745662163892066,5.63456163452015
5,5,198.300561486868,359.731506196417,122.768490805191,103.152048910188,49.6299429672953,11.2352848822598,0.354694816570209,0.778044327403936,5.66112154447945
5,6,192.221157522344,411.515381839185,117.208309951313,105.662060200585,50.7616454121804,14.0325207663406,0.0993725494550424,0.86533622127086,5.83341540588939
5,7,190.333789349318,497.846593371332,130.247446520824,109.241275933725,58.2728104815133,19.1606111954225,0.00205156545701708,0.941457990800813,6.07511784701347
5,8,192.453331583711,456.864949762162,141.304107878582,108.429198768217,61.5071401853195,20.7402641564375,0.000604371394479414,0.884620859041108,6.10212890320933
5,9,203.389952730409,331.739359132205,134.072034210051,101.838237300512,54.7101758799292,17.4872545412591,0.00704040446331917,0.694990544536312,5.89292924498183
5,10,220.304834030224,218.503916779579,127.844202881848,93.2625485717792,44.4795290800766,14.4718510150931,0.0246079559779541,0.599489401916779,5.61072444547048
5,11,233.629478546258,141.842934855903,121.560690726347,84.3106130071996,37.0152616252801,12.0155421602482,0.0457806408852855,0.586193892866266,5.30823418519278
5,12,238.018298762751,118.932881351174,114.175330834772,76.4209365176342,34.2903021683428,9.77895195584424,0.0164279270393321,0.560640954147162,5.23773985217657
5,13,234.963101741377,118.501412834962,106.374465239606,70.3111850946513,31.8497354879473,7.10470302398624,0.00213118689460869,0.535743162518208,5.28207872772765
5,14,231.35435227377,117.54422650189,102.743955875174,67.3435479549033,30.3839574273742,5.79618629308417,0.00275752307547973,0.533336800411921,5.25070530134106
5,15,229.378174567383,132.222214147306,105.690014619483,68.9341076508383,29.495807638132,6.3011401402761,0.0070355566218283,0.543541842495184,5.20170830743612
5,16,220.37512987313,158.6199553229,101.866815337931,76.7376878473765,31.2312566478824,6.60640165854557,0.00544379538988425,0.552615620224198,5.33005776112021
5,17,208.210898707425,190.460696424714,100.750455127424,90.3865953114338,38.5927878236562,6.61326388097625,0.00068349359067313,0.551981532084839,5.61795490181586
5,18,218.873868779104,286.728705991325,116.693691143269,104.608236215735,49.5635827552551,9.26548442843924,0.00615073105785392,0.597510292128142,5.76900133743673
5,19,218.5520079157,385.394590043672,130.047546868197,114.297413220106,58.1810965883616,14.9116515648125,0.259429197873538,0.658711128770824,5.87779223769489
5,20,205.230724298497,372.438897478723,122.772856558745,116.049694846405,53.8714742539866,16.1269235417531,0.28485122598481,0.634458118148052,5.8711992313997
6,1,227.278887263385,193.969313428874,116.564793209188,102.412737182582,40.2162069909601,9.5591315157082,0.00274588377225681,0.529048532762981,5.49051759728571
6,2,222.928840263772,219.137100178009,126.930947299874,102.656290920799,43.3827653306619,10.1059493703334,0.0111831405832982,0.561068131235338,5.52588953300688
