x,y,Al,Ca,Cu,Fe,K,Mg,Mn,P
1,1,687.936369960038,61.3314123901107,0.040591147537349,80.3317505765267,27.6534067276991,9.7033565835925,0.504499971073025,3.23569207769663
1,2,690.136578095855,70.1507761469444,0.042787571177045,78.3183495771497,27.5816323575709,10.464891602659,0.588351157785961,3.30701558409192
1,3,677.33833619738,85.5950259899306,0.0571719204415739,75.9637956237435,27.9243514034264,10.1557867359148,0.661191190283408,3.43653725922457
1,4,657.237176662554,107.353006160589,0.0978834591335742,85.1715802674228,29.4421560961843,12.1346151462824,0.744847006223807,3.55058364085052
1,5,677.321419266998,124.980460727293,0.151784161610901,104.195629801229,31.5375442300092,12.6725182880885,0.791304387996962,3.5523491958408
1,6,723.405555988613,140.211676311471,0.1923175552757,128.457929131128,33.9932201979824,13.0332584682472,0.822855051976912,3.49054508781538
1,7,769.905666673896,153.163387386167,0.206975527879132,143.49036151287,36.9815929962996,13.828318615522,0.881016002205075,3.44453992591199
1,8,795.187955572753,157.459789981024,0.215220445958364,140.474319280774,40.2706151987923,13.8559711712523,0.966422112641518,3.42478684576072
1,9,783.493861091563,158.515314990058,0.222837293565319,131.718139273834,43.0304317229642,13.709833168063,1.07465119368349,3.4182084115317
1,10,756.350788925705,164.568393036867,0.265553979871932,126.572540592929,43.375755569655,14.7129877581904,1.21182760054087,3.47059245796919
1,11,725.56271463556,172.849006685988,0.337840714577494,123.862512468907,41.4222663429725,15.8452268177806,1.33811293301977,3.57061005772819
1,12,716.604236440162,176.117025541766,0.407156323122532,124.118863648813,39.7190234587453,16.1883673537908,1.41459009830182,3.68140213455125
1,13,759.762684728578,171.860619421121,0.433618897070493,130.371091569244,40.2667169100833,15.8167297469414,1.41769179153069,3.78854850718448
1,14,821.6527328666,168.428787582758,0.408077216199519,135.285741522697,41.4753996666166,14.1708965827144,1.395132232285,3.90113920500011
1,15,888.078224474075,175.215711000084,0.359997235819307,143.358465565746,43.5570360001163,15.3607605933013,1.41322243600262,4.0604150077944
1,16,939.547478789728,187.589856117542,0.315014627909982,152.283078654328,46.5391413102867,17.1522767685546,1.43484429450893,4.22586500651708
1,17,951.939123789162,196.546911589369,0.328960742156021,156.393784194857,51.0315731734828,17.8521190626268,1.43412457504506,4.28090333572161
1,18,939.21596124894,198.562358049312,0.452793494476542,154.527532879343,57.1933540843421,17.8749813941422,1.43045852225518,4.19053257763104
1,19,946.920284599664,196.329443319891,0.565532261233245,155.516912898468,63.2430977536419,17.0949934976354,1.4284421283556,4.09635397011026
1,20,992.762187859744,193.106729589286,0.527107539324547,168.264670018081,66.5867805613914,17.580592316643,1.42588539496636,4.11451377741909
1,21,1069.79204706803,190.904659737577,0.410248160855791,187.092530098994,66.4187209932539,17.3296188421728,1.436538546565,4.21388419872234
1,22,1132.70763688359,192.499108369286,0.411021824635319,196.58732236683,64.4435200122585,17.8601611384586,1.52771620016272,4.25054206658302
1,23,1097.34288418645,194.839234624193,0.593099213998624,167.325934340335,63.8593165924799,19.452457905079,1.7364890331602,4.07599451591789
1,24,1034.42433747124,199.406635726902,0.825053402724848,135.130814443575,64.800145864804,21.119335651326,1.92857839132591,3.88439429367216
1,25,979.325942175128,215.583382487576,0.847614484880719,121.064786539182,69.3952751953077,21.8994591690906,1.99977144320986,3.78764839324022
2,1,691.937175688073,61.3650790109315,0.0408374746570199,83.2740113580004,27.4585909022218,9.98163458956415,0.563444776447399,3.08208387895693
2,2,692.403408325356,68.3657420643693,0.0409799432699568,78.2465236051921,27.3778692768163,10.9322422922326,0.653764143524571,3.14415747016762
2,3,674.588640172864,81.5851844477249,0.0541728620822226,71.227669610171,27.5871488301918,9.47988837197976,0.711374760442864,3.28591456280069
2,4,636.178787646382,102.950778296351,0.104859800047644,78.6354831372808,29.3577285278517,12.5826207286676,0.795325922714196,3.41965282498085
