"","x","y","value","soiltype","prob"
"1",10,10,0.00013706230200262,"1",0.115354419404748
"2",10,30,0.00020873209543169,"1",0.124338778933227
"3",10,50,0.000265562905252585,"1",0.134709762620292
"4",10,70,0.000301795282627467,"1",0.145104860569642
"5",10,90,0.000310194230104063,"1",0.150843139610609
"6",10,110,0.000284489641508353,"1",0.146540996652488
"7",10,130,0.000239401611039178,"1",0.13179799164232
"8",10,150,0.000211452208840438,"1",0.117583551205792
"9",10,170,0.000210431346552734,"1",0.11068956979366
"10",10,190,0.000207866574643808,"1",0.102883393847645
"11",10,210,0.000195462300707173,"1",0.0946181931320526
"12",10,230,0.000194955453432078,"1",0.0959307162511519
"13",10,250,0.000226789586443876,"1",0.112865135823135
"14",10,270,0.000318663083021174,"1",0.152400002898741
"15",10,290,0.000458092579598326,"1",0.20263611155584
"16",10,310,0.00055852216966033,"1",0.234514055415146
"17",10,330,0.000544008927122202,"1",0.229347481708874
"18",10,350,0.000463852014418374,"1",0.201467624716426
"19",10,370,0.000437812684854858,"1",0.195419468669691
"20",10,390,0.000486072537968649,"1",0.219680894278337
"21",10,410,0.000520322741801683,"1",0.236896274710419
"22",10,430,0.000504624087663876,"1",0.231003796257901
"23",10,450,0.000478873579500948,"1",0.220785626972311
"24",10,470,0.00043507820659637,"1",0.215835642033378
"25",10,490,0.000328361101890887,"1",0.21141211185226
"26",30,10,0.000173188312839591,"1",0.113626981714121
"27",30,30,0.000268072014751998,"1",0.12493296243129
"28",30,50,0.000348165439147646,"1",0.13868657514241
"29",30,70,0.000401064508953888,"1",0.152106755688758
"30",30,90,0.000414355774580514,"1",0.159300858379426
"31",30,110,0.000381789962745755,"1",0.155084401048723
"32",30,130,0.000325464376505279,"1",0.140780174275413
"33",30,150,0.00029149366117785,"1",0.127328816421688
"34",30,170,0.00028717343833028,"1",0.118812793600888
"35",30,190,0.000275553912525168,"1",0.106936664880693
"36",30,210,0.000249535838668138,"1",0.0943122794127989
"37",30,230,0.000241522803742886,"1",0.0920819425650275
"38",30,250,0.000280508622603223,"1",0.106788604677903
"39",30,270,0.000396019221312441,"1",0.144558346455039
"40",30,290,0.000566666415806218,"1",0.193858456251157
"41",30,310,0.00068255107750114,"1",0.225839107457828
"42",30,330,0.000658101626086654,"1",0.22079988596426
"43",30,350,0.000566766150970052,"1",0.195920505088723
"44",30,370,0.000545249241584101,"1",0.193873832735419
"45",30,390,0.000598756963165997,"1",0.215976099167073
"46",30,410,0.000622999159577298,"1",0.225372247897986
"47",30,430,0.00059257672966267,"1",0.212733790142503
"48",30,450,0.000557873982285287,"1",0.199246114481386
"49",30,470,0.000500407718152007,"1",0.191896597856851
"50",30,490,0.000369023355106511,"1",0.185030415051314
"51",50,10,0.000209963220191059,"1",0.119104924984349
"52",50,30,0.000326913698883281,"1",0.132085715946406
"53",50,50,0.000427042035751354,"1",0.148031895351248
"54",50,70,0.000492606566782966,"1",0.163168735270974
"55",50,90,0.00050860279511559,"1",0.170727178929184
"56",50,110,0.000470817828990537,"1",0.166320326175053
"57",50,130,0.000409511234115568,"1",0.153702889158837
