x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,Zn,pH
1,1,1833.5874783677,458.637596229932,1.63880649192866,325.201789090297,77.460539175573,166.506804671182,98.9460569893053,-0.891724871116686,5.313793983,2.94648814177985,4.38985359596852
1,2,1863.56634277513,606.95845377309,1.63579455189196,311.008665715918,72.7869761025295,123.37537977254,89.4645999571377,-1.90247358104685,5.51237653,2.65652994164306,4.50644655509091
1,3,1837.66123848946,880.36176021797,1.62915159991178,295.10956135837,71.0649901316448,169.69392886589,91.5025541768879,-2.8905190352438,5.698826781,2.45392261142713,4.72497332280722
1,4,1705.49066225308,1025.68390358899,1.54734070801213,285.814279130512,61.9934958660924,221.394017657706,105.342008456132,-3.34813349011094,5.637954003,2.31889134998437,4.6918566449587
1,5,1680.31842343931,890.694780292764,1.42137679276816,289.879461636749,57.1813743663932,165.188798654721,79.0820172247216,-1.35296793810175,5.230969211,2.00458654560104,4.57921172295209
1,6,1739.18269172359,580.18885178971,1.25058847251187,295.618468205153,53.1736144314522,97.705738998959,40.2163748691143,2.30892105435867,4.598499052,1.90210711707486,4.45307553618941
1,7,1783.088996617,299.271901744274,1.13510119387502,302.376774972025,49.4092764753069,68.5165409327418,20.0366452718115,2.54633213381038,4.398644008,1.84100011168397,4.36437963045949
1,8,1731.67316701738,161.260961193256,1.12172806094707,320.014983877722,49.6601711187265,59.4745802845026,16.386869234667,0.91728046249188,5.174153034,1.73104804439981,4.3109676242784
1,9,1649.84100435775,171.555342394388,1.164419853818,341.973290298566,47.7165233575995,54.622569252948,16.3788277900037,-0.216447522275358,6.079469618,1.74520502718866,4.29930967213148
1,10,1582.53540781889,378.470557917301,1.38874726558579,376.532134286945,48.5321375331082,63.9384825114939,34.6111472747088,0.0249745404993185,5.881281211,2.02164182633091,4.43167639319108
1,11,1563.02882945572,770.027244550429,1.75292624738885,422.459678814543,48.1039765361469,96.3383134318108,76.4383398094731,2.48245485132558,5.226146549,2.67237601332237,4.63630042356746
1,12,1607.10492095611,1004.46548572755,1.97134973183693,450.680152626727,48.2557372132987,139.501860093431,103.801222625793,5.81921290554721,4.826733542,3.4159854882972,4.75708912837377
1,13,1662.84620487092,840.518622034824,1.81551412558426,443.991588059963,54.0337929932804,130.018314956719,86.0951030358619,5.24395095179995,5.085361118,2.86341753509582,4.73307073673712
1,14,1698.09890374315,678.739302626917,1.58904438395235,427.798179283479,57.1407528850682,115.720460172302,62.5820947104102,4.66383461962539,5.29950406,2.43430497997921,4.68301996173802
1,15,1693.27674390697,692.358212939756,1.53399678598098,413.840564113969,61.6585365584936,154.714880967728,55.2177054846292,2.00351942459284,5.111738825,2.4657893744344,4.70590109090795
1,16,1627.23278030622,882.033386938618,1.55381220941095,404.445720304904,65.067928723442,237.335365097512,54.5473920149649,2.85028137457801,4.620869664,2.78099549983734,4.79236330013862
1,17,1599.99338373489,859.429894706766,1.53493081515897,385.77127376518,65.4586769943053,238.610559726142,47.5151458285382,2.29600836991874,4.420698198,2.7043145110465,4.80002757617546
1,18,1691.54615361524,647.60128992122,1.47167188927636,350.183985513577,66.0729785688034,149.527265266824,32.3125220628397,1.40948105635628,4.656216059,2.2171115477077,4.66865567034694
