x,y,Al,B,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,Zn,pH
1,1,691.32941265859,1.25493330547268,1980.43875251272,8.6383356454387,130.393646662583,170.15547130949,322.753684149545,360.821252416882,-0.711393650375463,1.12315440570837,4.4541897446436,5.67918619151303
1,2,761.614177553447,0.96009408753121,1716.61080273012,8.13740456373018,118.996249915754,150.780382999422,283.568382376931,266.867195115612,-3.39699921914317,1.3203225339288,4.04860011991635,5.57282406212781
1,3,902.714440573146,0.612928912474732,1088.23549152072,7.12784517714402,117.437099153668,146.339947004342,233.448114045346,192.733728471403,-3.4939971368244,1.74107365533719,2.34497175677824,5.31854902156672
1,4,960.45438968978,0.539610327975487,1177.94419261661,6.7070248358336,121.111056290768,137.396511263216,219.797250325432,203.860475244136,-2.06131598257024,1.97636682954299,1.33472840113973,5.17028298320023
1,5,945.559032850372,0.596729390691065,1209.22224504221,6.82199120216872,129.277986518373,144.457699974127,247.11304407531,259.509971272478,-0.716588493002817,1.99270734126198,1.3069107631905,5.20512980382493
1,6,887.750730386989,0.749954794260174,1615.14369473005,7.16963440887559,139.161535517191,156.167572042482,276.193568696979,338.405664966267,-0.292971518173019,1.90029581798293,1.57195517837435,5.33967793802948
1,7,851.073120910394,0.846721787040761,1743.28493894484,7.42794616334861,142.387661696291,168.107971809158,299.758486581512,383.773008530393,1.6546865648931,1.89349685221231,1.66689470325164,5.42570105315598
1,8,855.247712576865,0.845269357989053,2103.83071506302,7.46669552442623,138.819078708326,150.59016976945,310.358763737996,361.476733519584,4.50565171402167,2.14418153974749,2.40550505014965,5.41862311362145
1,9,866.346349915248,0.879257885430213,1845.98719381342,7.55219569715368,133.636672363036,145.814131699128,338.178755744033,328.676994957771,7.51106247380488,2.28993133957386,4.43723922637795,5.36703532475839
1,10,920.417963538155,0.802651460490961,1670.17421478122,7.63583199173533,135.687258705273,124.406563242392,307.068502041193,341.017177765817,5.53222805928581,2.23514132661728,3.25570766410296,5.27720267139506
1,11,990.018979960968,0.67629234585638,1463.31198189729,7.68677314418635,140.715081986134,106.43128089548,257.862625952667,379.320239446333,1.14716991998898,2.05934060596983,2.94731840419881,5.14264182701592
1,12,1032.89191459237,0.611471607630013,1185.88531937878,7.72159768675796,144.458610623987,90.5082512260368,220.463310126592,415.242834917752,-0.599652441112518,1.83054978067147,2.33144476874224,5.03566512993156
1,13,1062.91984430817,0.614544291290884,936.730077988604,7.56500763515605,145.877257581702,88.4795422882829,209.796619427078,423.291587538218,-1.75788799149101,1.59621491381367,2.40634077111721,4.97788893863889
1,14,1062.99582240004,0.625330002522421,1019.00413613299,7.43771340761958,142.899081324522,77.2360535594217,194.030992126631,419.74092580485,-0.672501468349942,1.37880899098995,2.67204727841593,4.92744263235327
1,15,1059.12499622913,0.64118639969225,1076.69691083672,7.31589306064658,141.102468248319,83.5851489463003,197.460823464544,428.956778725994,1.21555713701145,1.41647426374519,2.42762963431988,4.98704400099256
1,16,1035.15799388096,0.563696021300085,1256.4745108778,7.16993120586553,137.755211205367,91.6976292662493,213.418695221766,433.776672999764,3.69235510250714,1.60178840365223,2.37703783706084,5.10898912013519
1,17,994.223839885,0.588091247061369,1761.48950805012,7.15912147902297,135.625343791247,95.6608169744806,217.695103045206,418.079033497944,8.40366948095205,1.95975608623018,2.30275118635068,5.20203890017113
1,18,944.549397793088,0.694126116618409,2341.70431959038,7.37259319592589,137.751812950824,91.7506718991243,245.876869578369,396.20394356531,15.71980723057,2.69588517998924,3.15228082416593,5.28251293573884
1,19,897.93598482479,0.785423837085936,2450.71176479343,7.52558772111425,136.041321127864,99.9950340069053,258.255737412815,365.313044508623,21.195291502145,3.3797417497234,4.41007163095919,5.33055112181677
1,20,905.276263137089,0.581584939223183,2177.86992907354,7.29956017188,130.772284148711,90.1484465583953,246.12227875121,296.107851050903,20.6151051185872,3.23068637080169,2.66428475921038,5.27453290633888
1,21,931.829875814032,0.30448334863289,1700.76271459478,6.87612310375867,125.027941063616,80.5181596136895,213.038563904394,218.028151844474,17.7032427259395,2.57163551542906,2.19879302414106,5.16070564325408
1,22,919.571823723709,0.229247296842369,1253.91359416787,6.70254751294696,122.9312321469,78.5817464701575,213.902192043721,191.797342009324,13.6966359219036,2.00743866165841,1.37875613994993,5.1026760389383
1,23,901.85514344972,0.34606833914144,1187.09050484806,7.11996418471723,134.375073669068,87.5472375666404,215.745228250408,239.364686536014,9.89168162190339,1.5366080653897,1.62481422721573,5.14084153967836
1,24,871.27537944318,0.436591005815106,1280.13665198067,7.6306986851272,144.96830922779,85.0228823770117,209.379113638092,297.974770438633,7.70253834483658,1.11337439416647,2.05056521159295,5.19008069419539
1,25,868.228405334063,0.528691212490374,1460.30497487471,8.14864614203037,151.608174137289,91.7092918186224,210.874777502936,358.097679782669,5.98019217093449,0.967922287717583,2.20383838407186,5.21708099928496
2,1,683.021377963795,1.25829116380613,2102.54021505608,8.60720221341959,127.145501331282,161.365054372996,317.181929275401,347.313207132248,-3.23989900028695,1.19602120449972,4.68906617574916,5.65698346139773
2,2,749.615527172002,0.98821247771679,1843.25572851699,8.07494740889556,113.375339785833,147.67177007876,273.311544041293,244.370702655218,-5.16746286533867,1.39192897690653,4.31171792551079,5.57660097062396
2,3,936.165846367784,0.519877564588255,1033.28024398869,6.8136665695712,112.361522650199,137.073196465733,208.306041414474,152.263677581639,-5.25478074431926,1.98734982226616,1.85168709622153,5.26549955513374
2,4,986.198982952788,0.458922959217069,1008.41945936651,6.40744878017766,116.494980876692,127.791680705254,192.371188870452,167.917966172601,-3.87426440399094,2.2084547098138,1.18987116389622,5.10469341529518
2,5,961.559089348538,0.543771980607102,1248.50923986823,6.53833631634226,125.80203451772,136.714490075262,216.290139673439,226.938634124595,-2.24879845692109,2.2183252488447,1.58489596499869,5.17381102219892
2,6,899.790951469987,0.690930587738483,1654.16675679672,6.84324857932217,135.785307404482,157.103920173727,253.90287641751,309.280770324244,0.974445546564787,2.08786234364693,1.5562972802995,5.34968618768665
2,7,853.796243377036,0.794034198451068,1886.70314709764,7.10817430292682,140.163315822894,162.696959802694,278.201970265575,364.046726019572,4.15197469299256,2.01662166912005,1.43509897793742,5.46430257133588
2,8,863.88781174974,0.825838361915896,1819.9217186772,7.20255575883798,136.795994461985,153.201437463794,314.042547420912,337.805403038651,6.41295881809648,2.28122783447885,2.54222310146871,5.43324854680055
2,9,860.149414019043,0.912951806396682,1808.91195763054,7.38851867006296,131.611840404875,150.75340870839,356.561211074876,305.549203899044,8.9697874532683,2.45296734763936,4.19944102690929,5.40910838519772
2,10,924.128485449716,0.8032071955418,1650.2155370338,7.55070811317732,136.111020397189,127.596512154926,318.861289962261,333.882485661614,5.775733096708,2.36228435391758,3.25768340747587,5.3352648480512
2,11,1003.84477269608,0.660026776212685,1259.19340485556,7.66796380036969,142.751122441227,105.999024173831,234.669038652351,381.741611106173,0.993093144445453,2.14757357428118,2.73251919208945,5.21127280524908
2,12,1054.81067729302,0.5763351402131,1114.49351641279,7.75240030838984,146.386598990885,90.2225665324052,194.436547908311,423.77414991006,-3.03533448472932,1.91200759861631,2.02614599303447,5.11274891294061
2,13,1085.11275307959,0.613328798664373,1032.39261215284,7.67822624020458,148.884529571693,85.5805555039093,202.860064290442,446.035446453995,-3.98103629246841,1.66368902111666,2.35418120393456,5.08278930814321
2,14,1089.36944824275,0.589433263014166,865.324200874497,7.53792217471383,147.275384715654,71.0906430669648,186.260953977681,444.536263560278,-2.96567544102827,1.36262665908402,2.43927824972019,5.01584201523088
2,15,1083.28295230059,0.605832333252047,1066.86828828308,7.41204299112562,146.269407677544,80.2459393371234,201.840977040653,461.010600427619,-1.2376281151685,1.44849923712287,2.3754442705775,5.09879019249085
2,16,1060.78955966286,0.59451195541151,1539.15105966348,7.24340503662272,142.32436862995,92.9457830281625,212.708879560072,477.84195032909,1.70951126855172,1.65201838929157,2.36167973936917,5.2317429633187
2,17,1011.48859212373,0.610013141354127,1675.94665618357,7.16206271797083,137.735013571798,96.6701215918475,213.427983149729,450.807528899344,7.35635794977085,2.00637007165178,2.11737871069876,5.31596009028932
2,18,948.51088257603,0.73873324826039,2197.1693420445,7.4144015051487,140.884325235378,98.696304998275,240.386890786554,413.433611053988,15.4465742342936,2.92519146241366,3.10949783352229,5.39161951214521
2,19,888.814103550154,0.9294720274821,2746.79202413106,7.59209175593333,138.456295375642,101.174255043594,265.429466775883,372.265056594581,22.5898309938123,3.85830801156123,4.17276741202632,5.45516183775222
2,20,916.134237952323,0.626219860307554,2144.38347191315,7.27746494715765,134.034475878913,91.5822130787069,240.712332583552,288.602458048226,22.4171028741612,3.55875479370848,2.7239543286617,5.38706404718641
2,21,969.240462075442,0.223102114580497,1329.64768101077,6.70413432586612,126.033260685276,76.0524784271279,193.709668738842,190.219496387489,18.9983505051507,2.73340368120981,2.0483855411392,5.24278891422757
2,22,974.188301448643,0.10961509052175,985.702835610492,6.42267232847926,122.882343420083,71.9755587031846,176.335601279148,149.976160899038,14.9985860030546,2.09761750973749,1.18815752188341,5.15803733581352
2,23,936.13414077372,0.293174017087401,1095.245465375,6.95989770491725,138.316320826046,82.2046060159013,194.11006421982,211.482994634995,10.0318008196068,1.6565881179064,1.58527601764875,5.22678798631645
2,24,882.887377432706,0.432888560825151,1271.75377163696,7.54309335061857,151.112239555426,81.4321933588136,188.364616184644,276.296700130667,6.39008712482358,1.17500524987668,1.82022237487378,5.2851298150569
2,25,876.582392791808,0.552762174455286,1345.64016689132,8.17884733450097,155.896132145483,90.8666669012842,201.311950562074,337.715710560572,3.77475768862645,1.04492341555123,2.0974428035854,5.31455768706995
3,1,768.070617877,1.13269873429418,2018.03281897028,7.8831837379433,135.712280018309,160.070047002696,327.557847199543,337.797776882269,-5.51496411075338,1.49189779235146,4.67740550335394,5.50691678598679
3,2,828.235390098745,0.946090059796936,1824.39875122699,7.44754081078221,125.849193389434,148.126109544857,306.49818526179,261.40370040886,-7.309589326266,1.74441166582724,3.20099825054658,5.40797418479133
3,3,910.773925846264,0.692463509196244,1519.27571544542,6.99014886211464,124.279675167364,138.622973536964,256.220047407279,212.240253977218,-6.66692994910587,2.09731506317857,3.11215605008992,5.2689231807571
3,4,948.62311231648,0.576397549514085,1412.67107911128,6.77595037778423,127.25158153952,129.270289881567,219.899543001912,207.911958607793,-4.71357479028786,2.31617257679417,2.6930120890324,5.1873346916838
3,5,958.523448792365,0.560515810806176,1336.46405029195,6.60286898524592,131.36093269904,135.020849548031,216.162145576427,227.523115707695,-2.25152103218258,2.40305751694978,3.21631704950077,5.20950876818296
3,6,957.733754475362,0.57097810818298,1518.99546101417,6.38498163859829,133.050187515185,139.166385936643,225.779735747914,251.629799397624,2.3260135482787,2.41713576882569,2.07015469088836,5.30442810074729
3,7,953.829039628596,0.587597064847896,1606.94152053493,6.36125128070172,133.462018054109,146.654643829765,231.1592382842,274.546255699997,5.74744717997869,2.40566046220976,2.09023309875268,5.38151631822595
3,8,932.836528486275,0.66662725404313,1645.15680171978,6.78774250542654,136.465046754593,154.043271579337,278.717575867901,312.385078844635,7.04760657775,2.38867621430974,2.9864211031605,5.38112013791233
3,9,939.56992594441,0.726021653302275,1567.14498107377,7.19954556074409,138.972148144305,156.57531796968,292.147621744216,336.936495166945,7.72144789111229,2.36186142335246,5.13820024859141,5.38099763411692
3,10,987.13717479589,0.726974035245656,1522.65958830057,7.4934259522885,144.814597557984,128.761177412994,281.41830915408,365.461967104952,4.72888129091099,2.28875548354041,5.08612525257904,5.39913353222252
3,11,1055.71157686873,0.671121667053871,1346.05845120077,7.6153777957109,150.684065153365,111.819911104625,242.291935671199,406.52017489174,-0.249307580189225,2.17911727625963,2.32633762838565,5.39060021323519
3,12,1105.76681452344,0.632330467270112,1201.88402853591,7.68873858132324,153.799758429686,101.147034480191,220.822649271596,447.954957540665,-4.14395149268217,2.05047337649165,2.26200633225983,5.35883757327372
3,13,1125.93563899471,0.651423229144203,1101.29396881643,7.8008778110335,156.318388092374,96.3347689401228,232.489357250603,474.03906396379,-6.4265039796896,1.89949359766868,2.34259695513848,5.34308658986494
3,14,1131.09149679562,0.658860312290756,1160.74091180793,7.8715145264603,157.723880716882,89.0023192755011,247.807320601189,491.023129222395,-6.51441665471978,1.76629981198172,2.55295200284355,5.34894087609856
3,15,1126.052568002,0.625396655977287,1252.92717521757,7.77229058964864,158.173818069324,99.1396398016146,244.33742756544,502.2836961822,-4.79280443702903,1.80349328613114,2.56931506410842,5.36359351272532
3,16,1098.83067157342,0.598020411024605,1372.72076977051,7.62396279293057,158.174950785657,106.365224765544,240.852986322402,498.142529443745,-1.11675963632653,1.99645621705074,2.73866849059631,5.38295670776791
3,17,1047.1291539479,0.598064664687731,1622.57002752599,7.55183673782579,157.059097957739,103.693824510295,235.752330156768,466.370522760348,4.34325541559681,2.34782535615931,2.70207256016733,5.41871921958722
3,18,982.671148570695,0.664656075282437,1918.52190780927,7.54720348905538,155.607382384376,97.55388963432,233.416682601585,415.959158292199,11.4007487681478,2.88772823802038,3.36452791256008,5.48315653328577
3,19,942.775597101324,0.695545950059293,1838.67392552606,7.49417155117188,151.877243328457,94.5501655517407,232.346587391773,359.948523176609,16.5312113417097,3.29770839406197,4.11234756373238,5.53178323894747
3,20,974.529732870777,0.538991313087921,1703.33315518774,7.274331667159,144.589337805843,86.9741686255216,217.447775992685,292.983183585287,17.8325905943925,3.18477000627358,4.10534615069867,5.50183907281139
3,21,1033.14133173389,0.316738458417103,1356.0210691044,6.88369595439186,137.898630068037,83.874468309911,193.53978838126,217.814551246772,16.0174883742964,2.71278954344875,1.53581053851455,5.42495005236915
3,22,1052.40872619822,0.245875302688843,1141.09709826745,6.75584375686958,138.697245361943,82.2813250377968,181.941154530447,186.692005705388,12.7723482219961,2.2527623294218,1.53674301293307,5.37335365162903
3,23,1021.08391384828,0.35274411089047,1053.13693267718,7.14225584982264,150.780456078016,87.6524972553739,188.844028044618,217.148800380289,9.2848721972233,1.85586414659857,1.69719621090165,5.37376107602806
3,24,977.27900165006,0.508840493003801,1161.05058729061,7.70030986551925,163.134052641278,92.2936012434833,195.685951429411,266.113256603424,4.66315016119542,1.51171270916334,2.02671476214508,5.38908209664731
3,25,938.56315900836,0.571491498896299,1343.5618795456,8.23387016206181,163.03172416835,98.3850021047635,205.830346143338,314.834598227998,3.3860350450547,1.28366542229842,2.11796556074023,5.402038837111
4,1,851.825246116628,1.04053243823867,2067.02829588201,7.23991957712566,148.736087149291,157.806833958151,342.992408384583,342.946104430148,-6.76514264747521,1.78880993413708,2.55398682046028,5.37119370987334
4,2,903.468528642976,0.93295105202066,1988.2557362454,6.89238971951223,139.186872996982,147.95298101053,349.975778133693,286.803763744564,-8.4945134778439,2.00163963699524,2.21718641040346,5.26974950521765
4,3,925.802298710549,0.778556013212749,1728.58265417672,7.10362673451246,138.610576333572,137.613263330564,302.580386068827,273.793529255048,-7.2252237395525,2.18293961343738,4.37915888686517,5.26231188562223
4,4,920.505211795073,0.650874807985048,1749.66069898295,7.31136452704497,140.158773925505,120.295082164758,248.113741844817,265.211668296728,-5.21801099853583,2.29519888565942,6.38904484343773,5.25608141850538
4,5,963.999570062156,0.554948173393285,1407.72305253959,6.86272812292776,140.198534066437,123.418707617244,217.979205481768,244.134343463295,-2.30980059522976,2.45540663390463,4.06083201339164,5.23544304457803
4,6,986.289696781882,0.508135291390905,1199.87599686682,6.23034612876527,135.071864769114,131.753531276388,238.178997250342,227.125658807229,2.2902453741032,2.57317033996313,3.14544391449874,5.23732535372432
4,7,986.506321468862,0.481542559710883,1150.97335737566,6.00887205741061,132.239339113028,134.65666529951,249.042041087307,230.301272787513,5.4978456566729,2.57480503118375,2.07799771926126,5.25799062496804
