x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,pH
1,1,2588.76097215496,165.879803468519,3.0881955185345,790.357444833865,85.8201607024029,24.661866236697,1.66221213222044,-15.3755557792678,35.6106291827195,4.16335284835006
1,2,3251.01810406453,236.827371328102,2.9408917142885,726.380638227815,85.4605194701363,30.2431807067314,0.3027640204363,-6.38050405855136,34.1119832474957,4.19856875225895
1,3,3536.29786810776,282.727484058695,3.16566960356629,601.96724948068,84.5884637765978,32.49698163266,0.079420960008139,-0.990814822007351,35.6587459033995,4.19701392742713
1,4,3607.01909371068,260.598709796336,3.1867972003711,657.65965901498,85.312459711314,32.5264592162411,1.21888907358276,-6.21529814065138,39.7596249226965,4.23261886031794
1,5,3873.51438147527,240.303793544169,3.27585666626102,678.28889941483,85.835627701978,31.9421052152572,3.66142022942622,-10.6840164498412,42.8207360588053,4.2773377532488
1,6,3612.59422968246,232.77804598874,3.59187077693003,588.592790103455,84.1157745663094,31.3065156274633,2.74859806493504,-10.7632703389206,45.7986699695998,4.27221394710761
1,7,3497.53327156681,283.220405591801,3.69444816481648,593.174714413245,84.8632965689203,33.4979243722989,0.986900318242407,-21.0159147310863,48.9705095935563,4.199924197153
1,8,3596.49815911517,244.104158914872,3.74613640327265,775.619330776803,86.5717286112154,34.5506149815113,0.68938764058417,-15.8406296028422,56.6453439895608,4.06119188370052
1,9,3535.85539145751,241.043418402803,3.40182632381299,823.311266891856,88.792295933189,41.5588698277157,0.262656247790433,-17.3481263748404,56.6233999972435,3.9383406900461
1,10,3965.08958765329,199.814647731136,2.99913963172048,501.23775638267,81.2914504506495,31.418803048048,0.0326697774729732,-10.3748748817133,40.2390227227227,4.06242939243693
1,11,4704.09923437815,161.902559674555,2.6643171209744,290.078355481843,73.012519124846,27.4310009785855,0.00389531281345408,-1.05439893393141,25.3606638068602,4.19930981653394
1,12,4995.22548020291,129.672832225295,2.54158417447515,287.022635528036,64.801362046807,24.4652039711851,0.147267884700366,-14.4192013766623,19.0720268990787,4.23673094096672
1,13,3953.86018943268,168.775749295708,2.05760435307963,292.639575935086,52.9229544567476,24.8835706847761,1.87609594968747,-13.111098765854,13.5572131518847,4.48136228933373
1,14,3658.99151174758,129.120459915671,1.60916174544745,260.698178666262,42.8372330155884,20.5409711496636,3.00150621662763,-9.92622222980498,7.04861477766049,4.74722235844329
1,15,3451.95872973839,89.6991453577534,1.45261228243717,191.591651276341,36.9026278006549,16.0886165402391,1.76782653341354,-9.04147685260024,3.84103565194709,4.9063854559313
1,16,3570.2237804444,122.420214752881,1.7140734107481,310.942945752447,38.0731860472396,18.5454296218483,2.54978284126973,-4.48813821935352,8.19779835008449,4.82899855129143
1,17,3613.50700749604,172.682005049398,1.85649037832881,515.984546072213,40.3947480142684,20.5888541834777,2.24708004599829,7.44148586158323,13.319913209121,4.7392411769915
