x,y,Al,Ca,Fe,K,Mg,Mn,P,Zn
1,1,1043.44213231616,522.450581132337,176.391877686576,84.2376073872021,40.0951117504535,33.0766459548493,5.08061342970804,3.91417666828006
1,2,1058.64981566933,392.058175996336,161.265282508558,77.68111300591,32.370163992056,27.2722539764736,4.6329920738329,3.71832408332457
1,3,1028.52758899039,341.558825715524,139.600686108362,76.7648006304169,28.7883931618342,25.9620283903687,4.30886267968441,3.50358670390809
1,4,1011.71709267375,311.246346819468,151.399533455286,81.8890816152436,29.375137322095,20.4000800303523,4.06952665966751,3.59130816288249
1,5,1046.08516909096,312.713071451686,165.420943086883,87.488004499039,33.9854073224825,22.2002189856623,4.43873915752885,4.00736313583991
1,6,1102.30161989267,286.580885376424,182.929525997489,92.8471561303178,38.5547135872591,22.5322534837043,5.11437019515546,4.60527289182632
1,7,1126.1659331594,287.520163554045,189.04648449221,96.4182214857614,42.7772089252317,20.2730342792817,5.95092765413535,5.24312208747877
1,8,1079.39888396035,452.495741167997,183.069953043035,96.9894650007802,50.4435061094625,24.2853343770432,7.41359521961347,5.9063206075383
1,9,1020.041278286,618.992290377498,173.479336866956,98.4817965853119,56.1092095107368,26.8967131425084,8.99919199042244,6.18998089885162
1,10,1056.77665066714,624.42961859843,194.258888092446,96.3437409434431,55.7791583865844,24.8427759656667,10.0103007516957,5.93254192657049
1,11,1129.01942555198,532.57496883376,252.354342716384,91.71379347953,49.6294149531723,21.9814926446018,10.7241994832732,5.3988681940536
1,12,1171.9046518455,455.565046567626,292.912986345634,87.2759007930796,43.8018946698557,19.1982141191171,11.0739998936608,5.20344415683088
1,13,1165.49611128101,425.378390426612,243.198215789694,88.4201310390659,42.7131139398438,18.6903678168797,9.9078576823052,5.59066289827924
1,14,1178.79460023648,384.962638054027,236.058886821224,90.0567770409031,41.784037107368,16.3622351329223,8.74898860590484,6.10779350435575
1,15,1158.24141788912,385.83502612781,207.434419839221,93.4538937671328,43.3310324741798,17.1929168482167,7.97494536811357,6.55467000559862
1,16,1132.01829288037,382.920787144065,176.612268788143,97.7708215662863,44.7092598395454,19.0781950212517,7.25408344781966,6.82017634657508
1,17,1120.80621913845,347.242920699214,167.895882339025,96.281331344202,42.7067711277558,19.0627714006775,6.65870966565595,6.43904675187345
1,18,1096.74987905376,301.391154980174,164.307632500515,84.9974757758411,38.6711522830776,16.4969102506064,6.31994845363805,5.27022293942327
1,19,1065.85673577494,242.009978800769,160.756803993712,73.4123690470603,33.3852242732901,13.2140542215872,5.79868824080342,4.30931587093338
1,20,1081.91935534974,242.723100463017,163.778427025659,72.8958050497091,30.3581921146702,13.8923178522937,5.44816394077563,4.189811363418
1,21,1134.98983737711,257.641671640585,177.504612778394,74.9079826648625,27.7353769255872,14.0263616958921,5.12219046602901,4.42992086905907
1,22,1165.41005915519,282.158801135402,191.106219655679,74.2541585526102,29.7363196262827,11.564287769603,5.16649679578145,4.34896777877233
1,23,1013.86959603925,428.598862121081,172.212756026926,83.0764276897763,45.9132994888916,15.9309766198797,6.77991240303199,4.44835214062576
1,24,833.75477022811,638.334451199323,155.477986851843,92.1973710018226,67.8318442213899,22.7510085205866,8.92367444018502,4.53171727037065
1,25,870.544836280276,585.918741649925,152.19142753395,93.9920928981915,66.1355248014046,19.8592791492964,8.8849235195014,4.41417253066578
2,1,1064.06554004269,415.189664302358,179.421547382973,79.3199466207876,35.3203148987393,27.7292892094036,4.78576390311242,3.70108969405299
2,2,1087.85407666064,276.505191840397,162.409551585443,70.5013924651212,26.4704310698661,19.3906909116972,4.20539086960859,3.39510215811081
2,3,1027.28272690097,234.967290998057,124.153724249045,69.2074331418283,22.3081325431904,19.8745192482363,3.82094332715464,3.01611229652504
