x,y,Al,Ca,Fe,K,P,pH
1,1,1084.31281318239,200.394510083625,209.745872058913,28.2211587313178,4.16914276125547,4.08889230928188
1,2,1170.39393601378,191.564239666962,200.813111439669,27.7510132611448,3.85356774624968,4.14008574235582
1,3,1269.99296855401,169.549000699161,189.260562333195,26.6304615476296,3.43673237493158,4.18001676184147
1,4,1211.63635586079,149.968826259061,178.283628430844,24.8702264749504,3.00466588732885,4.176691436743
1,5,1116.61129643758,119.302021348655,161.594711806578,22.7271068488525,2.64148435026378,4.15845623907463
1,6,1055.56732014809,110.706291845022,165.863486094921,21.1819974332761,2.62825124271929,4.08959891197096
1,7,1054.97305879467,110.82342898284,167.630728491002,20.1929122043867,2.76462077179691,4.07779750793557
1,8,1051.83317508288,115.341533344323,161.010886174764,19.2696360799719,2.84700329767653,4.11023272848545
1,9,1039.313877525,105.168157707648,155.655455077642,18.7562396653033,2.7695257489609,4.12691055580804
1,10,1013.7731692388,105.586664329265,152.688329815214,18.6243418346363,2.44627202736098,4.08275541752937
1,11,999.057236568575,109.851941431841,154.564944112253,19.0210807856095,2.37484210463979,3.9681497286547
1,12,1073.44292563718,135.06958132461,160.948054915941,20.340972231529,2.92157432497078,3.92923645468423
1,13,1146.01013379234,180.986206956127,147.074087929512,21.7597157334557,3.57092394236458,4.05514756976846
1,14,1162.45278669623,209.932462300272,135.101070116927,22.6934478835283,3.5926780260321,4.30439785479163
1,15,1156.75371525128,202.115415942571,124.083762227695,22.8494483836274,3.15727453087676,4.5750895913376
1,16,1111.73430197974,147.360315238073,119.965606981175,22.3733008201692,2.24696187793632,4.62981216070194
1,17,1063.51891537726,93.2991365396583,118.810468867383,21.8613181948357,1.66510825089187,4.51171911976486
1,18,1058.32031292919,95.8140415882615,135.372199384972,22.1806994771725,2.19486526620779,4.2775337525862
1,19,1068.8460905169,126.537265765661,156.381962183695,22.8140299358924,3.13787128417132,4.08451766577682
1,20,1132.54119458501,188.745956930052,173.204446601923,23.5133633027004,4.22753733656727,4.08953021715522
1,21,1198.98332494935,247.520893293075,181.265574601573,23.8279572275499,5.02458158330504,4.16676583402735
1,22,1313.82688897986,208.98251667355,175.747724533528,23.0253746815504,4.0408366884678,4.18306278701998
1,23,1415.45125638383,152.928207988664,169.389622014146,22.108282686641,3.06199795064581,4.17632412360403
1,24,1283.19186674901,122.32177070903,165.275518321389,21.4049586839718,2.41559387389989,4.18800250109978
1,25,1142.5737274008,110.230488083243,160.56557036415,20.6393712934767,2.06889864542239,4.19994216281941
2,1,1128.46099813498,219.479494583957,209.125452454689,28.369275769578,3.9072843775184,4.06296981254326
2,2,1154.55946494221,222.602636219398,213.630652177613,28.0961181308882,3.67830965875716,4.11171614703882
2,3,1173.01097996082,212.174745113329,217.572222193279,27.2125592950929,3.37617185465502,4.13943203046974
2,4,1152.54143832298,180.334756323775,204.39940355538,25.484403602481,2.97288994204518,4.12630206890163
2,5,1065.16731373242,135.743919802398,181.167494697183,23.0905691197417,2.58947108486319,4.14799191264759
2,6,984.280352157485,103.55264074764,170.353856112778,20.8444653209946,2.37575632670087,4.16798942882637
2,7,991.127883316493,95.0565659221675,162.701368247986,19.2817729836331,2.36022387405636,4.20335714793574
2,8,990.688211546687,94.3562575867433,154.511953805416,18.1841861645684,2.2792980843151,4.20797279004359
2,9,970.702424556366,84.1075064805921,147.577474877037,17.4743181703322,2.06987747011033,4.16738473139289
2,10,963.780733022083,84.6251757039222,146.184819043833,17.5878202908125,1.89922781177456,4.12164761564288
2,11,976.283739357533,96.0100475091,149.100835562999,18.4264892689966,1.98672017809294,4.05005247095259
2,12,1039.62811371545,123.825457905632,153.965922066164,19.9589767997463,2.6043416712315,4.01703448112571
2,13,1110.7850528144,158.960986221348,147.76541206619,21.5964704907365,3.35350536168121,4.12533069736146
2,14,1131.48398463271,189.150108191368,137.289703662287,22.5329481564981,3.47580297827047,4.36964779113603
2,15,1111.99045316737,185.449978581229,128.166436620543,22.6256901610958,3.00797179564585,4.61494602913034
2,16,1075.79862823056,150.319945050886,123.107328154056,22.1664197033818,2.31336653510078,4.69701058445089
2,17,1037.92299343465,112.405604889031,123.125445796175,21.7566338789864,1.92633701614891,4.59974050590986
2,18,1014.12846386535,101.035830624022,137.992271996844,22.0442446057435,2.17457942198926,4.38612411837809
2,19,1016.90851015676,110.056017568057,159.708764148163,22.5879339491402,2.72188675697523,4.20999222146919
2,20,1050.56861387377,136.611528016724,176.103966998452,22.9254634223344,3.32152383364904,4.16355364831499
2,21,1092.62073744202,175.772484730283,179.826164145512,22.7217245982932,3.4617539517338,4.19227739368577
2,22,1226.25712766331,199.372267932199,181.849721400301,22.2012385544927,2.95623647092235,4.2390360750129
2,23,1310.43080976919,212.974028231182,188.126939227266,21.7557718022162,2.62088501121483,4.26941678459356
2,24,1238.65382011332,169.277016768991,180.499954540224,20.8330674721162,2.33996398357936,4.24669779521077
2,25,1151.45423181459,138.606953275299,175.380276853706,19.8611989945925,2.28502603345159,4.21404700590217
3,1,1167.58887500777,258.448924435906,202.586886432136,28.5359357124167,3.78831572624946,4.03618052349405
3,2,1128.03377981457,273.716308216489,222.137387689136,28.7177803722382,3.67007819102454,4.08136457276993
3,3,1097.1482938601,272.547416145776,248.553540506974,28.2752132290783,3.43007471082261,4.10346275844328
3,4,1110.35921704268,226.337420019361,230.998952881912,26.6804013391921,3.09652983704511,4.08367747710127
3,5,1011.44253906188,165.518309592496,193.290753804603,24.0700740121877,2.67116275561941,4.1728931579862
3,6,938.259081858241,121.718036118711,167.154083855188,21.3999524822659,2.32655123736486,4.37255466540627
3,7,959.977909705308,104.443332808859,153.954268090593,19.27866283713,2.1456980926061,4.408960169513
3,8,941.060657096253,100.860120659861,149.306986350767,18.0279729130715,1.96811101078688,4.32799507788582
3,9,908.39243970031,88.0238263950117,140.736216337943,17.0836744910699,1.6566838832742,4.20592483263892
3,10,923.319215987705,97.0314117029977,142.675829458621,17.619426318709,1.61634902269794,4.13974327382453
3,11,943.109650875922,108.057609876787,144.615916174883,18.7390822027791,1.76908954968526,4.12815272307092
3,12,1002.31897577824,135.249333836911,152.845869897678,20.4708334057236,2.46793423190317,4.09784700776837
3,13,1079.07967321016,157.866367843336,151.554262727409,22.2558127476364,3.26379028369471,4.16826024864895
3,14,1096.51470402654,185.135335346788,143.761344450942,23.0579837288266,3.38862226317447,4.38596584767622
3,15,1065.91101459809,186.003503079356,136.146376482522,23.0294996611916,2.8674428782266,4.56311205237728
3,16,1042.90972603685,168.999964131259,132.456140295619,22.6506278586403,2.42763281509586,4.62378268320015
3,17,1015.27804825201,142.675042033636,128.863222077708,22.209621274339,2.20438009045853,4.58253145802043
3,18,971.694780066502,123.361157840525,143.875877510362,22.577750628287,2.18799795517928,4.43369794805021
3,19,929.93506167908,112.751271308553,160.851326190869,22.8890094677674,2.34031518291397,4.33369452482357
3,20,924.607066136943,114.92234519663,171.5860956818,22.7487569285342,2.50452292185557,4.27994284330597
3,21,927.441143185379,134.701839305857,176.943957354647,22.2846632957117,2.35373671448575,4.27510871875307
3,22,1095.17530479161,195.224759379111,186.876506349069,22.030134441352,2.23821078782322,4.33279193409523
3,23,1218.00862752086,265.813452798074,203.631114382361,21.757309454964,2.25783938115684,4.36631399786071
3,24,1158.36010685636,218.912053184748,187.779087056073,20.3427727802505,2.2504341484107,4.30335221996733
3,25,1117.65289239639,171.369896377373,182.383512357471,19.0612844258705,2.46100000654193,4.23200127548334
4,1,1031.37774362138,305.992419041371,202.925437150314,27.7504414093537,4.24221608733581,4.15221825906742
4,2,1041.35337177811,313.780661309967,213.179402311279,28.6114148102191,4.04326892505816,4.11889218816603
4,3,1058.71913160202,293.613985923618,222.92101063303,28.8466428688875,3.70156631334271,4.06780125073079
4,4,1044.53773125221,248.6307159058,211.485963346547,27.706613565155,3.3485909227833,4.08600622409311
4,5,950.94142564891,194.605943006906,185.506826365771,25.4057680116291,2.94585273078896,4.25432324223132
4,6,853.113371109812,137.369683995905,164.281996735158,22.6593245151504,2.43962609397461,4.60751637926773
4,7,873.165074036519,128.498951972796,156.007439090823,20.5510690163475,2.21862427209368,4.5590803353685
4,8,915.494958630001,147.376680087827,155.833450045884,19.4587197513567,2.10319125365736,4.3450328724873
4,9,921.233249502914,163.666264849199,155.290410253412,18.9806084482216,1.92030812594894,4.17666229894445
4,10,909.664368794938,162.438822155259,155.312719879938,19.330453050001,1.91602118095229,4.10104561841385
4,11,912.692493420696,168.696763014225,158.370441719752,20.2773258041137,2.15483623652633,4.12481909649227
4,12,954.699969355998,193.12721267561,164.585916630767,21.6625011909772,2.71282009192143,4.16605271261842
4,13,993.7098786534,215.273873472827,166.637067091016,23.1923713289274,3.30810006518326,4.25004889957028
4,14,1018.61521148725,219.71448538768,161.761848833847,23.9958555884372,3.34752378004997,4.34584227067235
4,15,1018.04635891351,215.475835213712,156.169828430692,24.1292731978871,2.88048268976492,4.39465205294601
4,16,1013.21295256223,197.855191633088,154.005046957124,24.090799180598,2.49879064854632,4.39559841508081
4,17,993.59881489021,172.111110225871,155.106015773903,24.0993011262893,2.32124946794376,4.35451789655578
4,18,945.139597349318,150.41715307535,160.666161894867,24.2550818684859,2.21549884518059,4.3208027049828
4,19,892.252692658093,134.973824572677,166.150243415653,24.0493719650629,2.23253476187761,4.32262415830514
4,20,881.272421796366,129.742536791051,168.246756478727,23.3628165294152,2.22047765019679,4.3630550874984
4,21,910.057877381587,142.952993949809,172.011237762095,22.6588618443926,2.07058158952692,4.41237260311184
4,22,995.126131408352,182.673767297123,176.786135065719,22.2707321328646,1.99628764000407,4.40820221932138
4,23,1052.35867686842,230.098125332359,178.196029403174,21.7418138337662,1.990688085691,4.35135019450422
4,24,1045.20985019925,242.687679553884,177.182648080196,20.1300424371227,2.04093854872273,4.3228801505407
4,25,1029.60722419277,218.830193908343,178.441112157839,18.6504539715614,2.33484580638974,4.28705174211256
5,1,895.781763383531,360.150814616663,208.020733788516,26.2471562776433,4.88329085996314,4.34752422654219
5,2,951.881260841384,354.406230844395,211.195650805889,27.6223039439316,4.58892155308804,4.26454286956143
5,3,1001.80723580269,322.347654415228,201.985305145225,28.6886730107591,4.1566078228649,4.13269066015427
5,4,996.782799890432,277.611801896663,190.684957820146,28.3631566808683,3.75944695136796,4.08751024661214
5,5,919.289943623366,237.422918234815,173.265039750772,26.9447185528632,3.36461440328752,4.16641374081795
5,6,858.465603749415,177.885667676618,163.863461833338,24.5965635794348,2.79309588593357,4.44458053612516
5,7,864.758421068968,172.225086859269,160.238916958354,22.5240571017955,2.4659238117258,4.4010631657968
5,8,935.360717077959,211.515516174485,165.515874623945,21.7062659967691,2.38193849509972,4.2402731333457
5,9,969.67789821615,258.205459763475,172.076736415812,21.4563955782871,2.37044250470571,4.07340508116415
5,10,937.331646685969,236.950003495547,169.737706245287,21.4259067228277,2.38924223243492,4.05360551270376
5,11,918.587507093693,235.901890491865,173.538061228613,21.987243136713,2.6202026848905,4.12969721606602
5,12,921.503541639059,252.990047837181,178.080675267686,22.9677390337377,3.10193804127538,4.25863374439108
5,13,911.89041166973,286.943555327392,184.975214297207,24.2945285225915,3.49515633639213,4.38075305767966
5,14,954.790953265746,275.47290927892,182.889903816126,24.9824030208889,3.28226984547336,4.38120669408594
5,15,989.010339002474,259.91842321251,179.854879687286,25.4221361317319,2.7988368519775,4.27773164801547
5,16,1009.04748692956,229.389195012353,180.358243813866,25.8731990192346,2.49007285779259,4.17264632182853
5,17,1000.31195512357,196.066661502228,185.976463783167,26.3223070990346,2.40925298408502,4.08098899682854
5,18,947.867184914864,174.203082319892,180.851577056828,26.232729716711,2.32617370337257,4.12011038197175
5,19,877.113562641337,174.758259712899,174.613748191559,25.6438163409866,2.23990607120089,4.2105354482877
5,20,877.513839414975,195.717304110208,165.751372435554,24.622152663253,2.18364782058357,4.3546282087015
5,21,916.986370111453,192.517796544144,166.722652973238,23.6067415932906,2.07547853068895,4.46728204408184
5,22,949.03298020587,195.234438805548,167.502260949192,22.7041851337754,1.89400585849385,4.418550336458
