x,y,Al,B,Ca,Cu,Fe,K,Mg,Mn,P,Zn,pH
1,1,210.415106202123,0.380831131900625,1788.87778915137,1.12279039444835,181.240441714817,195.491259954724,143.507924724481,173.260750699415,54.1255196904575,2.98797066289197,6.86318824145475
1,2,191.477347846691,0.43681391446407,1940.90509909117,1.16700174161786,181.602626548826,197.9097008802,146.455956639345,158.950677842786,49.4147235404917,2.89577333015936,6.94455446296439
1,3,171.160792256747,0.406708936870377,2371.74344702504,1.41326090536468,189.628805079985,228.866750926691,159.744798205441,143.188084702376,57.7242927343894,3.67310867542949,7.06419306132585
1,4,187.838466727512,0.244816044459361,2582.97590388595,1.52001192180205,201.792058266963,257.603533995057,148.494627290783,121.942554947958,54.4764653599916,3.52108793790792,6.99483882263873
1,5,197.462396159457,0.188561142556555,2491.87871261133,1.50013040327256,196.524404637945,265.700758270839,147.758293320531,122.831917216373,49.0788024529829,3.42146406965301,6.99361613217934
1,6,196.545926169361,0.201569056189068,2291.22244837879,1.41899930793965,180.878450527931,269.008112205172,158.221952884112,141.595373712279,46.5047291520343,3.5020344858101,7.09640726158998
1,7,189.440570047935,0.21248235458839,2187.22057142175,1.3635599715183,167.553335625236,275.418961417885,166.413908135398,164.039273359013,45.990984906559,3.52243365687136,7.1827447891619
1,8,193.802549409126,0.19083193826467,2221.23408371675,1.38407231913767,159.060870637053,278.679705050564,165.292308440047,183.474222367535,43.090958559144,3.22092251106962,7.13950196010113
1,9,181.697409883065,0.188164877578949,2328.32701493754,1.38266050253156,154.895228889593,296.201326442006,167.990178312527,191.401077746714,38.0587167876509,2.9606620511509,7.17502616314221
1,10,184.879380547588,0.264993939826459,2544.56692045458,1.38795758212942,156.618175036164,323.121913999537,176.710953373925,183.244352156842,39.5376696433568,3.09506648786073,7.21047333295703
1,11,178.251845469188,0.413499038505315,2861.67796061222,1.40147214772641,162.446047513482,366.425854681696,189.257171246768,169.027101096339,40.9979800050281,3.68709684195653,7.30222146623086
1,12,159.75911404546,0.488267904325926,3057.23186363214,1.38975155588825,164.67531589576,386.104494721571,190.926197980942,159.437818780397,45.9748763642616,4.45324492856245,7.40170653156841
1,13,175.562926050655,0.384523106759049,2697.15291652869,1.33569075905999,158.58170315026,328.278616827067,176.298197282127,145.461837393918,37.8118159742533,3.50109442825549,7.34162761643383
1,14,163.113821651381,0.27997890084199,2316.49869646724,1.2692736295281,150.090521468603,282.009832681536,162.578697391046,134.825987003498,38.2752962296744,3.06631636242342,7.3591537477134
1,15,167.716304190396,0.233096497270399,2249.33673461109,1.25888501401693,138.138708230415,260.546224767936,158.107656931036,139.008339623151,36.5764453959504,3.02633282762594,7.33208076130977
1,16,161.412828742076,0.228807390710206,2385.18971515524,1.29494589627051,126.701678184146,254.923651509079,159.898573823529,154.100573046006,35.9982822702932,3.24719259103292,7.33511668721449
1,17,144.85145929872,0.240029377655231,2543.31742219831,1.35539722131477,123.481805125796,258.714818554457,165.411136245385,177.15104067231,38.0629141971786,3.60164341088641,7.34184590593917
1,18,159.632953837785,0.175557999216035,2426.35899502513,1.22296491959557,128.793311117312,251.350970044556,160.162202646408,192.539965012143,34.4657884955803,3.28073819315455,7.24158090832809
1,19,147.021415854316,0.102667302896829,2229.34950707998,1.06211969613365,136.327841759781,237.515673724277,151.708533190113,188.87993563282,31.2071810937409,3.28741197723277,7.1862485113376
1,20,150.427382224008,0.0663610073764065,2069.72108276433,0.986087875518331,144.921673591195,212.759454550878,145.684659920563,159.552224610709,32.8092319611469,3.18993461556596,7.14114816692869
1,21,141.433435855988,0.0392201938825776,1845.89375697911,0.895292536699559,152.527984341178,174.709525534538,136.436153589637,121.568320752413,33.3897407799668,3.17370613468816,7.077377198962
1,22,130.501583598249,0.0195474676825534,1594.37932162872,0.763980240729945,154.73135775122,130.810960779234,121.926107527622,101.847866930422,28.7124509846204,3.03555156193689,6.98254481196873
1,23,143.248172920124,0.0298742218623343,1752.37244863783,0.822424257515486,145.802198025074,138.409730068655,132.786552069659,104.891068659932,32.353978013513,2.76141899051139,6.99907600149006
1,24,127.988326653407,0.0343110673128372,1939.2684608234,0.885290685637147,135.980039495765,153.782268258864,148.271623442832,115.199363459284,29.3682306889467,2.44849993639308,6.99353841928241
1,25,133.19472471474,0.0674472776469984,2151.41354730402,0.961158055931159,135.320312971769,176.190090270066,158.676689287314,132.849555610253,31.6696670725154,2.56802884131666,7.03146040758627
2,1,190.259322501522,0.325271756810545,1642.96129141173,1.0535443919168,178.311770562857,188.4325981103,142.901643247076,171.733554523025,48.7180309301729,2.71285227282485,6.8612472283317
2,2,157.444022625749,0.375250888530788,1757.11905140395,1.07005638784195,178.743043109868,186.188548080766,144.489341511086,157.125590062269,39.5030923344181,2.44416069177407,6.94753009690367
2,3,117.844873415192,0.354719757559699,2312.65362162468,1.40616699984644,189.797811061123,225.597980229635,166.141280043003,142.283982867961,72.6827208699041,3.96231380786596,7.1350380973076
2,4,151.624664189564,0.152621356327835,2533.32238350611,1.51398110986891,209.951777587468,257.65963489244,141.903329673875,113.23686217973,65.8831365253404,3.51676331662456,6.96474222137811
2,5,174.180646317964,0.108973871224161,2384.19852009419,1.50897209809616,202.263646655208,255.84705326668,137.198661926567,115.974271497034,51.4389793226763,3.41992679846443,6.92858289794813
2,6,175.263760387822,0.11597289595988,2109.66535674783,1.46483827838668,180.905448634648,244.254718161417,140.824883835346,139.011519971989,46.3665446253319,3.63764650593221,6.98569118490103
2,7,159.374258916221,0.122557442012731,1966.90836347653,1.41501563371845,163.780885808702,244.947002693411,144.902278225408,163.3300796279,46.9432383133343,3.78570972497956,7.07271850541192
2,8,174.897787324285,0.120392128139727,2047.82722958525,1.41097764577564,154.297368101369,256.653217014238,149.030130746406,181.704024311478,42.2968222404243,3.24025386253697,7.08253354150833
2,9,147.635237320836,0.115011272487651,2149.15701623718,1.36081606378574,148.709210203816,283.544392845914,155.517305654304,188.273606032191,29.7469042944785,2.77853339652754,7.19631620699089
2,10,162.517050755805,0.191331051386552,2368.12193428477,1.34792479546253,150.856265180153,312.652385362518,166.476911012683,174.046345933979,36.4335671692596,3.0040873069059,7.23708617333246
2,11,157.811404818854,0.355684187262914,2693.16533406018,1.36378488422925,159.285890183708,362.372962507257,183.370045578851,160.588645704309,42.2913762672567,3.69336518571839,7.34642427363003
2,12,127.085323181086,0.46056742207705,2938.37816408285,1.36506513187581,164.492192935315,394.129881099401,188.980503314109,159.390327916475,56.0419727020002,4.84295701709669,7.49430726440001
2,13,157.061766534922,0.324619225629758,2551.59834816439,1.31495448288863,157.692184378311,317.977026463122,168.854024019806,154.191704896484,37.6028199665729,3.59207068749554,7.40141098061949
2,14,127.885551624392,0.213928748862664,2102.73887479705,1.2350833540596,149.697347334332,267.345154501362,152.887895537125,144.731075807828,40.7030780498324,3.05647385048472,7.46509597930871
2,15,146.07887898487,0.166964509293324,2049.71152457797,1.21311005369351,135.527498399094,244.446323650069,148.045558237109,149.819783457433,37.1261293386865,3.03417401209102,7.40436159814944
2,16,141.99764888092,0.146992046086557,2154.77423329381,1.17947159974869,120.77568297555,233.985887248045,145.344962977557,167.231109523555,34.5472900421509,3.18678405371874,7.40158983682855
2,17,109.564494118741,0.177001086393083,2368.4546750735,1.25250851759249,117.389470835933,242.217703088778,151.897872633286,197.387019516544,39.3590223029932,3.77312613740984,7.43362580122411
2,18,142.181235671404,0.155905256408636,2344.65321837458,1.18478292346597,127.555153882935,246.456647686143,152.555561670775,218.299857611698,34.2388549691581,3.40957850735754,7.27180377082351
2,19,113.701485820406,0.0925602747082451,2193.63837264316,1.03163763505448,138.376325885372,240.15806332169,146.112458631538,216.790686831211,25.0681108593125,3.58762050875269,7.2154931863988
2,20,129.892920340947,0.0661891347562553,2121.55953658892,1.0066196533506,149.628105985548,217.192959209252,143.510206360492,176.623014571868,30.6710902043425,3.41157122521573,7.17080680188156
2,21,116.097141520684,0.0416542780772447,1990.86912331235,0.967455042869688,158.427116336217,184.486924775745,139.327896864438,125.981111703157,34.1799269494848,3.48984656827868,7.12658717656602
2,22,86.7936060155448,0.0208435147994008,1775.18759656024,0.85503776459818,159.932747909668,145.743571723078,129.035120322981,98.5186783052004,31.954587885418,3.55487167902288,7.05535010390383
