,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,9.822179262172819e-07,1.6704517533060499e-06,2.0063049422530334e-06,2.046409860050335e-06,1.986687831329207e-06,1.951151064817496e-06,1.9224370958919464e-06,1.9837735980788665e-06,2.0262202204474094e-06,2.0503211563356073e-06,1.8990697215543724e-06,1.609868720999262e-06,1.5969208843017644e-06,1.9483192484246007e-06,2.268961590482598e-06,2.1502156163457932e-06,1.6604152820266112e-06,1.454476674627125e-06,1.4494408953076655e-06,1.3415891352713289e-06,1.2473588466846998e-06,1.4356572484933529e-06,1.6021985091016269e-06,1.1404011935243866e-06,4.503337073553508e-07
11,9.490481059168114e-07,1.6872038509187412e-06,2.0855187989097278e-06,2.1425033681404086e-06,2.181734780578925e-06,2.1753934314477263e-06,2.109949380362394e-06,2.218956336764193e-06,2.182960046619837e-06,2.1113536169714084e-06,2.090712955135087e-06,2.0448097642851347e-06,2.1344162724472076e-06,2.2207322362651656e-06,2.1844290519181217e-06,2.0231073679361598e-06,1.629196915265892e-06,1.4368811564528636e-06,1.4032581325335574e-06,1.2797015477985757e-06,1.3287336695502033e-06,1.6105541844833508e-06,1.6353342106518266e-06,1.0686643815337168e-06,4.3290869889176864e-07
12,7.345602269219101e-07,1.4899600403372966e-06,2.0628722334809065e-06,2.3078553091113937e-06,2.4889062944613803e-06,2.5099060099962895e-06,2.4348426409062436e-06,2.5094765002649796e-06,2.393102056193711e-06,2.192210744852613e-06,2.299907332581981e-06,2.535293383475239e-06,2.5786249444856066e-06,2.3613076871122816e-06,2.0548266400511124e-06,1.9106531989382114e-06,1.7474042971036745e-06,1.528750881942452e-06,1.3766401782567712e-06,1.2440160273046984e-06,1.3391732609686572e-06,1.6009323326577145e-06,1.6123103200173093e-06,1.1569196920200441e-06,5.737863281320882e-07
13,6.565229673167334e-07,1.4191340734942214e-06,1.995307972484356e-06,2.2413752727874865e-06,2.437683852481045e-06,2.5065851563031686e-06,2.49336394236991e-06,2.521539745039726e-06,2.476390545607012e-06,2.3160276383014773e-06,2.414256467205903e-06,2.6540340749791714e-06,2.501067845158693e-06,2.121125110911319e-06,1.8609997782078313e-06,1.851117318090594e-06,1.809918711218584e-06,1.539867903591917e-06,1.266986772273816e-06,1.147664275087763e-06,1.2087970058107382e-06,1.343824737736433e-06,1.3475196683955339e-06,1.096947494701754e-06,6.44663934284293e-07
14,7.507492674989654e-07,1.5412929846440766e-06,2.067924024755933e-06,2.2767969790204526e-06,2.3498429392787166e-06,2.2326558668386838e-06,2.2027154690447955e-06,2.308126582487808e-06,2.4348504407453864e-06,2.4735163534285593e-06,2.545741404623335e-06,2.5424124832539257e-06,2.132786354608893e-06,1.740344491034217e-06,1.6755871697005522e-06,1.8017849897917976e-06,1.7592300455504703e-06,1.41412537809293e-06,1.0617912430106013e-06,1.023930361635554e-06,1.0794971976126535e-06,1.0816389866946353e-06,1.0735870170383174e-06,9.597072389547648e-07,6.298912076006655e-07
15,9.123064334221921e-07,1.673555067752517e-06,2.1468223329884104e-06,2.438770380874473e-06,2.449950368956524e-06,2.092235750885108e-06,1.9577863091225486e-06,2.179902688661326e-06,2.477043835532638e-06,2.585296722899042e-06,2.5207732095491257e-06,2.2788480244327807e-06,1.8310714449154928e-06,1.575698325846227e-06,1.5887401286622707e-06,1.7091588236675212e-06,1.6103924735276316e-06,1.2517681076197863e-06,9.598639318464324e-07,9.875478602863444e-07,1.0407721525248625e-06,9.82603732987514e-07,9.646732785683452e-07,9.495584633350646e-07,6.865996744594137e-07
16,1.0744846283702711e-06,1.7391389932294975e-06,2.086813432182554e-06,2.4468448683504346e-06,2.546732842523699e-06,2.2815631393012237e-06,2.113430511556569e-06,2.222169428869395e-06,2.4454429765379607e-06,2.4450637657939217e-06,2.1922812255904626e-06,1.9155664047827466e-06,1.6662001687183466e-06,1.549345843774665e-06,1.5677352025637896e-06,1.6861389013700454e-06,1.5640468095507904e-06,1.2568526533452727e-06,1.0813040377772502e-06,1.0727848419320538e-06,1.1556118315972692e-06,1.1224764740196544e-06,9.933000659485151e-07,9.732163049995513e-07,7.327277126928303e-07
17,1.0293917649968085e-06,1.6213726753647402e-06,1.9766827555595532e-06,2.3846492322341757e-06,2.5857888693881605e-06,2.535913219226112e-06,2.3826689104751624e-06,2.321514502958299e-06,2.301113013762956e-06,2.093038240082979e-06,1.8496500453844223e-06,1.7703413804682754e-06,1.6554131998878197e-06,1.5263436915983795e-06,1.5923515726992906e-06,1.8231020285721997e-06,1.78519764231954e-06,1.5741574454737875e-06,1.4636108451741924e-06,1.3982964793859623e-06,1.4599024955182241e-06,1.3951788672555072e-06,1.1608922234428748e-06,1.056242436587466e-06,7.703623635756755e-07
18,7.674047469325274e-07,1.3668093978612242e-06,1.908879412314486e-06,2.391599563651743e-06,2.5654738442403158e-06,2.5798280623151807e-06,2.5594584138162433e-06,2.583527734932341e-06,2.4604996272579935e-06,2.073028847628306e-06,1.8717293114929869e-06,1.8538385834030486e-06,1.728145885450816e-06,1.6222343483510841e-06,1.7231042246062913e-06,1.914468917379514e-06,1.979967787569459e-06,1.977493603372557e-06,1.8689655176153133e-06,1.693124217624693e-06,1.625178572184527e-06,1.522814696966249e-06,1.3784694650441165e-06,1.2601764653598362e-06,8.665255834045799e-07
19,6.187509123640296e-07,1.2277090793964785e-06,1.8133848392689089e-06,2.316359566170127e-06,2.46760345610136e-06,2.5705164769885538e-06,2.863335686675699e-06,3.0248399158385337e-06,2.740468909753536e-06,2.2519979537728615e-06,1.9969501332966423e-06,1.8230926545175195e-06,1.7314512326074408e-06,1.8101616249578333e-06,1.9174363893127502e-06,1.938934779798355e-06,2.005041277207191e-06,2.172874039548212e-06,2.118407230870639e-06,1.9137609513000886e-06,1.7795959437511938e-06,1.679446701297894e-06,1.6185437356376585e-06,1.4640297950635258e-06,9.312047591494513e-07
20,5.551510726706777e-07,1.1181353673537667e-06,1.6487980486252695e-06,2.093312216663666e-06,2.2673897122083494e-06,2.551371324712684e-06,3.0699951121847297e-06,3.223498628041914e-06,2.7413807486338082e-06,2.263331903925636e-06,2.0180017958490267e-06,1.720265070853498e-06,1.6032252891596726e-06,1.7494461059594787e-06,1.8823937841806807e-06,1.8779031767561467e-06,1.863328501615073e-06,2.0466489580195592e-06,2.0963177141759684e-06,1.9982157405458633e-06,1.9057272262871782e-06,1.8262812522593373e-06,1.8195147646511973e-06,1.6290887958206637e-06,9.780995507962328e-07
21,5.411973549586713e-07,1.013338160070154e-06,1.4740025199297206e-06,1.8312856901541883e-06,1.994531009856787e-06,2.3472310360960913e-06,2.838331204288873e-06,3.0186293296775994e-06,2.6623009183545503e-06,2.247444104214745e-06,1.9382396927521232e-06,1.6231190407573487e-06,1.4813314644164968e-06,1.5651594106728309e-06,1.715144472535064e-06,1.732809648262773e-06,1.6446045142398193e-06,1.764734598804638e-06,1.8008280891913705e-06,1.7802650637618864e-06,1.806514323234015e-06,1.838786043191961e-06,1.96388853981492e-06,1.8354680555541663e-06,1.117577544870278e-06
22,6.364742037430558e-07,1.0432997920679917e-06,1.3656753884337088e-06,1.6385468353834302e-06,1.7674299019658144e-06,1.9537047352706833e-06,2.314368253174882e-06,2.6760382636711363e-06,2.6777435784435587e-06,2.314827713372771e-06,1.865840586698673e-06,1.5779215715713159e-06,1.4545418882470758e-06,1.4602156487789296e-06,1.564709728825884e-06,1.5823404970970165e-06,1.5072339397655032e-06,1.5207341874632268e-06,1.4672606748905696e-06,1.4965985626529947e-06,1.653885618418642e-06,1.8494203176384677e-06,2.1112624139545214e-06,2.0699142613012907e-06,1.3023922060256072e-06
23,6.729122419232677e-07,1.069960787371399e-06,1.2590055045320542e-06,1.449817548147176e-06,1.6186643596394727e-06,1.7137505237610462e-06,1.9693503608739454e-06,2.3846124171003243e-06,2.5557272228151233e-06,2.231322380652879e-06,1.8040394617361675e-06,1.6376197414609358e-06,1.6254796251329586e-06,1.6354837141874993e-06,1.668354440521968e-06,1.6671452394647367e-06,1.5732587906176145e-06,1.4220587941142685e-06,1.3256713786148843e-06,1.46130801006224e-06,1.7530905349597e-06,2.0778548999193925e-06,2.3324626116714554e-06,2.1901259105419225e-06,1.3691782166312777e-06
24,5.776357934555466e-07,9.857562469995182e-07,1.1443777558687188e-06,1.297595286091687e-06,1.5624335376985e-06,1.7661101706356325e-06,1.959436778770994e-06,2.2152562516287847e-06,2.329717363293271e-06,2.1161331015487804e-06,1.8383367478722038e-06,1.8008565954686216e-06,1.938907285611682e-06,1.9957199244164133e-06,1.9605213467124062e-06,1.9233992121532856e-06,1.8061516699426652e-06,1.6383632588130783e-06,1.608108717190668e-06,1.756147328393802e-06,2.0115626744193036e-06,2.2696725221936577e-06,2.3275876461451372e-06,1.9981130487820705e-06,1.2017474729142885e-06
25,5.263739081153322e-07,9.58436261170514e-07,1.166035438376268e-06,1.3607451100442502e-06,1.6635456654102214e-06,1.929166931961882e-06,2.0652980339167606e-06,2.1216924206026237e-06,2.164699649937139e-06,2.18902471187277e-06,2.200154248975317e-06,2.2780764578018593e-06,2.3553285585185398e-06,2.2440117862819025e-06,2.1074907813873453e-06,2.0250838741624817e-06,1.9588986940965344e-06,1.954210267808384e-06,1.968668261084087e-06,1.9527960057599202e-06,2.0699546521962744e-06,2.252098471053287e-06,2.2319522845898654e-06,1.8116512373957124e-06,9.898680946960522e-07
26,5.4827515602705e-07,1.0230240160816191e-06,1.3293665148002825e-06,1.574807221741227e-06,1.8033561157339853e-06,2.0612831440817064e-06,2.2015022100116185e-06,2.1544405184376512e-06,2.1047635363154546e-06,2.2380335407143843e-06,2.52497214098396e-06,2.7591499157177654e-06,2.7775442562890607e-06,2.4936470966179994e-06,2.225542111291234e-06,2.0810598540078657e-06,2.0215753455515346e-06,2.0744659888350513e-06,1.992708072949489e-06,1.865149063195376e-06,2.0570118258134934e-06,2.4644500741057858e-06,2.6699785142898687e-06,2.1320987081752946e-06,1.0419351081982451e-06
27,6.01224645926781e-07,1.150408252068718e-06,1.5236783059510523e-06,1.6824111315258637e-06,1.7579737756037621e-06,2.026801543466961e-06,2.2696501547356882e-06,2.2652784761052117e-06,2.1032209681134074e-06,2.126755633637425e-06,2.5013003408066914e-06,2.891121691295074e-06,3.0239921209197956e-06,2.7522604150262953e-06,2.4611321756962488e-06,2.353849645086993e-06,2.232112085198489e-06,2.161028949624564e-06,1.9906423783863536e-06,1.9283427612899434e-06,2.277200158684716e-06,2.9260994041563417e-06,3.315684329451424e-06,2.6349322423600066e-06,1.2637092287574415e-06
28,6.696971656271743e-07,1.315591997523725e-06,1.7589185832986731e-06,1.827486476561803e-06,1.7583916532795178e-06,1.9807982938677817e-06,2.238740480215323e-06,2.300586892839478e-06,2.1594103227328465e-06,2.089281639503457e-06,2.374004158255041e-06,2.709497525752197e-06,2.8858635957590202e-06,2.7612862604508916e-06,2.6509466027034394e-06,2.6418047388315482e-06,2.432203673039531e-06,2.218644315081757e-06,2.085350929113424e-06,2.185498858531361e-06,2.584843180313055e-06,3.217576199238253e-06,3.5874481405367566e-06,2.9131447591831878e-06,1.479820055841108e-06
29,7.114688457268223e-07,1.3758508899330177e-06,1.7915405623061394e-06,1.8867614864437527e-06,1.8443798190347438e-06,1.99352043002208e-06,2.2615432936302295e-06,2.4548595155029718e-06,2.407768375570648e-06,2.259548558846498e-06,2.293480964318103e-06,2.3733806028870232e-06,2.545865573292472e-06,2.7598323200531566e-06,2.934125088411124e-06,2.9182440893928285e-06,2.624738649412946e-06,2.2659120481265605e-06,2.090889987650953e-06,2.317834005628844e-06,2.9104711816600147e-06,3.667052749416901e-06,3.98653918695017e-06,3.2617092252187555e-06,1.7371043074324805e-06
30,6.77827920295017e-07,1.2384241576822922e-06,1.5056168480251634e-06,1.6184289069509693e-06,1.7260989128350448e-06,1.9734900908500976e-06,2.3715286711629586e-06,2.6697371668212814e-06,2.6683169255098374e-06,2.486192588660734e-06,2.3728224724767315e-06,2.3612706430443228e-06,2.5589879044444493e-06,2.9589380339792166e-06,3.340524052184076e-06,3.416526249915168e-06,3.150502343909234e-06,2.627186198414088e-06,2.2913092619893396e-06,2.514860653177617e-06,3.369937380571459e-06,4.534391166578115e-06,4.88368519819266e-06,3.939524213028311e-06,2.1247059362461686e-06
31,5.870261027032801e-07,1.092725338913004e-06,1.334071393961182e-06,1.4304107280089375e-06,1.5901615219838664e-06,1.9811984173631004e-06,2.4910930269208164e-06,2.7183402470323828e-06,2.6619966855601186e-06,2.6210599534428365e-06,2.716838074497288e-06,2.806200594870024e-06,2.8605945293573693e-06,3.151450809274828e-06,3.5958397197244102e-06,3.744167747770786e-06,3.543819930496006e-06,3.0603931021818505e-06,2.7638016118453047e-06,3.0207053582972983e-06,3.9977625780253064e-06,5.360688516250452e-06,5.731565807064422e-06,4.669022973005193e-06,2.537367514222917e-06
32,5.974626481914762e-07,1.2499021264345463e-06,1.5760779441127431e-06,1.6046548308371865e-06,1.6962111545026744e-06,2.108450272712976e-06,2.642935872985371e-06,2.7953878745545277e-06,2.774466873120678e-06,2.896143914460388e-06,3.112806460687726e-06,3.169889949991399e-06,3.0344171629942976e-06,3.1994025919225e-06,3.4924548201045226e-06,3.401611314748323e-06,3.1950093399904102e-06,3.036050095473427e-06,3.164084498323881e-06,3.710712403152395e-06,4.549105275757105e-06,5.4612047590048394e-06,5.695875646662106e-06,4.77543281065592e-06,2.638306987640099e-06
33,6.985168479802676e-07,1.461060922023388e-06,1.7441234436075452e-06,1.7515017124086158e-06,1.8445422059468265e-06,2.1725700432042654e-06,2.6553819391158574e-06,2.839455059952154e-06,3.009903973932993e-06,3.2114085403207243e-06,3.20817673296916e-06,3.063743828063427e-06,3.0381871975247492e-06,3.3387006768633445e-06,3.413888113320113e-06,2.9742785298175032e-06,2.7823662207627575e-06,3.002623690684432e-06,3.621781231390592e-06,4.4975296015777974e-06,4.969923228575527e-06,5.0666675916070465e-06,5.0220320474468694e-06,4.372700609250261e-06,2.5111442313992037e-06
34,7.481752919448601e-07,1.383661612519004e-06,1.5285869447225097e-06,1.6397317935223705e-06,1.7896218024896664e-06,1.9383372254873616e-06,2.334870830540373e-06,2.643834433513695e-06,2.890588593792226e-06,3.0960362118361543e-06,3.018617250667414e-06,2.844570239659836e-06,3.0304112146074154e-06,3.3843919906308724e-06,3.327425423479856e-06,2.8573626449134352e-06,2.846430929134232e-06,3.32871121102318e-06,4.094462609523412e-06,4.9357052022967055e-06,5.133641049283797e-06,4.827250214797961e-06,4.589763170486857e-06,4.0968440539803914e-06,2.4716203215891746e-06
35,7.80476342612296e-07,1.2236745963142484e-06,1.2524172699351794e-06,1.4392502353293697e-06,1.6449101005427816e-06,1.7228410405817586e-06,2.04979427418349e-06,2.3908759811203438e-06,2.5389684024654786e-06,2.7240170847844057e-06,2.817254074452264e-06,2.845615322000564e-06,3.1043707154868195e-06,3.282681395765134e-06,3.2345547722642143e-06,3.0069633295122144e-06,3.0267653098354403e-06,3.396217291063236e-06,3.991001781631139e-06,4.607330338563023e-06,4.7718852626392965e-06,4.544699146480357e-06,4.290036707087093e-06,3.8400400892903965e-06,2.4044839659157737e-06
