"x"	"y"	"swp"
2.5	2.5	-0.137724908730159
7.5	2.5	-0.146141492063492
12.5	2.5	-0.214201638888889
17.5	2.5	-0.209349194444444
22.5	2.5	-0.209883420634921
27.5	2.5	-0.210080277777778
32.5	2.5	-0.238237329365079
37.5	2.5	-0.233028309523809
42.5	2.5	-0.233028309523809
47.5	2.5	-0.155876507936508
52.5	2.5	-0.335203960317461
57.5	2.5	-0.33439659920635
62.5	2.5	-0.325876111111111
67.5	2.5	-0.327013496031746
72.5	2.5	-0.313948853174603
77.5	2.5	-0.314338353174603
82.5	2.5	-0.303217884920635
87.5	2.5	-0.282411198412698
92.5	2.5	-0.282411198412698
97.5	2.5	-0.325856194444445
102.5	2.5	-0.356071440476191
107.5	2.5	-0.425415813492064
112.5	2.5	-0.425508432539683
117.5	2.5	-0.427663396825397
122.5	2.5	-0.309420206349206
127.5	2.5	-0.259623238095238
132.5	2.5	-0.259741015873016
137.5	2.5	-0.272239396825397
142.5	2.5	-0.325845424603175
147.5	2.5	-0.328105341269841
152.5	2.5	-0.33942775
157.5	2.5	-0.33942775
162.5	2.5	-0.330943718253968
167.5	2.5	-0.296896015873016
172.5	2.5	-0.330905912698413
177.5	2.5	-0.330905912698413
182.5	2.5	-0.299898912698413
187.5	2.5	-0.148067714285714
192.5	2.5	-0.141620468253968
197.5	2.5	-0.146341726190476
202.5	2.5	-0.146773321428571
207.5	2.5	-0.143642420634921
212.5	2.5	-0.142378714285714
217.5	2.5	-0.146341726190476
222.5	2.5	-0.149157535714286
227.5	2.5	-0.148602484126984
232.5	2.5	-0.144692412698413
237.5	2.5	-0.142989563492063
242.5	2.5	-0.154514845238095
247.5	2.5	-0.154372845238095
252.5	2.5	-0.177310464285714
257.5	2.5	-0.175529424603175
262.5	2.5	-0.18478105952381
267.5	2.5	-0.182240043650794
272.5	2.5	-0.156018091269841
277.5	2.5	-0.147850515873016
282.5	2.5	-0.14977121031746
287.5	2.5	-0.143830321428571
292.5	2.5	-0.150379142857143
297.5	2.5	-0.147758206349206
302.5	2.5	-0.146790845238095
307.5	2.5	-0.152395404761905
312.5	2.5	-0.153950535714286
317.5	2.5	-0.155389777777778
322.5	2.5	-0.142743833333333
327.5	2.5	-0.142743833333333
332.5	2.5	-0.143844027777778
337.5	2.5	-0.153547646825397
342.5	2.5	-0.153547646825397
347.5	2.5	-0.201205575396825
352.5	2.5	-0.201224908730159
357.5	2.5	-0.164235150793651
362.5	2.5	-0.152791083333333
367.5	2.5	-0.153575595238095
372.5	2.5	-0.153421305555556
377.5	2.5	-0.129280896825397
382.5	2.5	-0.135118376984127
387.5	2.5	-0.126907369047619
392.5	2.5	-0.126907369047619
397.5	2.5	-0.1430425
402.5	2.5	-0.142441111111111
407.5	2.5	-0.134792702380952
412.5	2.5	-0.137872146825397
417.5	2.5	-0.160645063492064
422.5	2.5	-0.228317738095238
427.5	2.5	-0.269818261904762
432.5	2.5	-0.256414051587301
437.5	2.5	-0.270342952380952
442.5	2.5	-0.270342952380952
447.5	2.5	-0.255319527777778
452.5	2.5	-0.269440630952381
457.5	2.5	-0.270342952380952
462.5	2.5	-0.270342952380952
467.5	2.5	-0.223112329365079
472.5	2.5	-0.223112329365079
477.5	2.5	-0.160645063492064
482.5	2.5	-0.152791083333333
487.5	2.5	-0.153174527777778
492.5	2.5	-0.160490773809524
497.5	2.5	-0.238473234126984
502.5	2.5	-0.237320884920635
507.5	2.5	-0.23923773015873
512.5	2.5	-0.240534079365079
517.5	2.5	-0.160490773809524
522.5	2.5	-0.161589424603175
527.5	2.5	-0.160299924603175
532.5	2.5	-0.160118543650794
537.5	2.5	-0.156089456349206
542.5	2.5	-0.14741798015873
547.5	2.5	-0.145338853174603
552.5	2.5	-0.142916412698413
557.5	2.5	-0.143257972222222
562.5	2.5	-0.154221765873016
567.5	2.5	-0.148526908730159
572.5	2.5	-0.144502702380952
577.5	2.5	-0.14479144047619
582.5	2.5	-0.149347904761905
587.5	2.5	-0.149313619047619
592.5	2.5	-0.148347095238095
597.5	2.5	-0.148418011904762
602.5	2.5	-0.148018011904762
607.5	2.5	-0.146787714285714
612.5	2.5	-0.254879829365079
617.5	2.5	-0.259812242063492
622.5	2.5	-0.374124674603175
627.5	2.5	-0.358247083333334
632.5	2.5	-0.333423777777778
637.5	2.5	-0.333423777777778
642.5	2.5	-0.233446908730159
647.5	2.5	-0.239146226190476
652.5	2.5	-0.255035785714286
657.5	2.5	-0.252158626984127
662.5	2.5	-0.147291678571429
667.5	2.5	-0.154050634920635
672.5	2.5	-0.198193183621934
677.5	2.5	-0.198192259018759
682.5	2.5	-0.225939765873016
687.5	2.5	-0.159006182539683
692.5	2.5	-0.159361587301587
697.5	2.5	-0.201082531746032
