"","x","y","value","soiltype","prob"
"1",10,10,0.000414471932557777,"1",0.178278395673441
"2",10,30,0.000581769416631117,"1",0.185952813434293
"3",10,50,0.000703538720369123,"1",0.193690006457611
"4",10,70,0.000785276415663942,"1",0.205430593520672
"5",10,90,0.000822378959330858,"1",0.216674787692245
"6",10,110,0.000780318776571698,"1",0.214137783516558
"7",10,130,0.000677888011454533,"1",0.195759600988335
"8",10,150,0.000624410010710032,"1",0.183025920788701
"9",10,170,0.000699941271319379,"1",0.191511744440187
"10",10,190,0.000884679570938414,"1",0.214791135312585
"11",10,210,0.0010929661252315,"1",0.242690109679271
"12",10,230,0.00118796889239406,"1",0.2582232039422
"13",10,250,0.00110593628680835,"1",0.246144003708085
"14",10,270,0.000965471791501894,"1",0.219516080496722
"15",10,290,0.000914031442747905,"1",0.207150609158292
"16",10,310,0.000989626946780694,"1",0.221129978917968
"17",10,330,0.00111454073511949,"1",0.248522175142548
"18",10,350,0.00114381202172387,"1",0.262554290055568
"19",10,370,0.00102182183242691,"1",0.250703114868937
"20",10,390,0.000847113038172183,"1",0.221992616514619
"21",10,410,0.000745435090767193,"1",0.197207994436996
"22",10,430,0.000742900235744523,"1",0.188218902635388
"23",10,450,0.000773944426421176,"1",0.191484487685525
"24",10,470,0.000748972549900916,"1",0.200556387004084
"25",10,490,0.000613596926148497,"1",0.211127226741117
"26",30,10,0.0004796325896439,"1",0.167820107457729
"27",30,30,0.000682749921059869,"1",0.178856349104125
"28",30,50,0.000842510022303022,"1",0.191212524874327
"29",30,70,0.000958143430146101,"1",0.207139963336278
"30",30,90,0.00101323451315753,"1",0.220502758131987
"31",30,110,0.000961656687650245,"1",0.217699566733407
"32",30,130,0.000828355622204876,"1",0.197221553878518
"33",30,150,0.000750586898140601,"1",0.181325308783929
"34",30,170,0.000830031865782859,"1",0.186889392705742
"35",30,190,0.00104148885221937,"1",0.20764223463573
"36",30,210,0.00127957514203681,"1",0.232952259335007
"37",30,230,0.00139208365989588,"1",0.247174080977931
"38",30,250,0.00131549611964376,"1",0.237354394768725
"39",30,270,0.00117903192107125,"1",0.216014826407204
"40",30,290,0.00113327626804953,"1",0.207488595702021
"41",30,310,0.0012111489525169,"1",0.221138513899343
"42",30,330,0.00132774596781994,"1",0.244945595591549
"43",30,350,0.00133740418957786,"1",0.255526469725803
"44",30,370,0.00119288670957162,"1",0.243431656428868
"45",30,390,0.00100277263468514,"1",0.217093522303646
"46",30,410,0.000902050748843501,"1",0.195271806980512
"47",30,430,0.000919678394771452,"1",0.189212152012253
"48",30,450,0.000975514103376824,"1",0.194939428384705
"49",30,470,0.000952642187556855,"1",0.205296521427126
"50",30,490,0.00078087797590954,"1",0.216028526334253
"51",50,10,0.000508806321042604,"1",0.154810614531772
"52",50,30,0.000730546544155876,"1",0.167438459584537
"53",50,50,0.00091627510850498,"1",0.18274837430595
"54",50,70,0.00106062500076701,"1",0.201670061756281
"55",50,90,0.00113378416705363,"1",0.216712130000075
"56",50,110,0.00107708407054415,"1",0.214189419936051
"57",50,130,0.000918834190030517,"1",0.192855378980193
"58",50,150,0.000815715519553359,"1",0.174625097242625
"59",50,170,0.000884111476701042,"1",0.177177601153313
"60",50,190,0.00109467978332952,"1",0.194770737925269
"61",50,210,0.00133345101573943,"1",0.216621198620972
"62",50,230,0.0014535757721453,"1",0.229073163426855
"63",50,250,0.0014001829759836,"1",0.22206198985834
"64",50,270,0.00129384529532217,"1",0.2068869910304
"65",50,290,0.001266975615069,"1",0.202870147708849
"66",50,310,0.00134249239396586,"1",0.21662199382094
"67",50,330,0.00143644824828531,"1",0.236587708290825
"68",50,350,0.00141904800380091,"1",0.243031120756999
"69",50,370,0.0012613028588195,"1",0.230409533266433
"70",50,390,0.00107632982350041,"1",0.207136324751985
"71",50,410,0.000997464124914635,"1",0.190023110193409
"72",50,430,0.0010497004551117,"1",0.188638982003392
"73",50,450,0.00113530970745759,"1",0.197340476138385
"74",50,470,0.00111299518940856,"1",0.2081939848233
"75",50,490,0.000906557171773093,"1",0.21757115416897
"76",70,10,0.00050571124785743,"1",0.141026106596101
"77",70,30,0.000729242054738435,"1",0.153745667097961
"78",70,50,0.000924549734130587,"1",0.17003784338189
"79",70,70,0.00108523952302066,"1",0.190019027877187
"80",70,90,0.00117160487792736,"1",0.205509881699347
"81",70,110,0.00111446603641331,"1",0.203371047707418
"82",70,130,0.000941391329969947,"1",0.182546420798633
"83",70,150,0.000816043038127432,"1",0.163270225346732
"84",70,170,0.000859619962540025,"1",0.163015235009418
"85",70,190,0.00104110511178423,"1",0.176957766528879
"86",70,210,0.00125186793133981,"1",0.194768584961073
"87",70,230,0.00136935221968006,"1",0.205403799921075
"88",70,250,0.0013510944930131,"1",0.201800410616569
"89",70,270,0.00129060685416216,"1",0.193033508160113
"90",70,290,0.00128811053862046,"1",0.193310755425286
"91",70,310,0.00135781261822428,"1",0.207111956216146
"92",70,330,0.00142485908198053,"1",0.223304749124026
"93",70,350,0.00138394670535971,"1",0.225633727396058
"94",70,370,0.0012272228040811,"1",0.212599721132347
"95",70,390,0.00106864463711689,"1",0.193334406772618
"96",70,410,0.00103309762161749,"1",0.182995307440051
"97",70,430,0.00113338170786118,"1",0.188060998763303
"98",70,450,0.00124830651726002,"1",0.199948913684143
"99",70,470,0.00121778424791533,"1",0.210094353268851
"100",70,490,0.000975363814196239,"1",0.216193234395171
"101",90,10,0.000484826694583068,"1",0.128738615560268
"102",90,30,0.00070071134887777,"1",0.140746274468013
"103",90,50,0.000891310053089325,"1",0.156219103199832
"104",90,70,0.00105244653245502,"1",0.174986383697318
"105",90,90,0.0011427235041958,"1",0.189175187971441
"106",90,110,0.00108838287713511,"1",0.187084902622725
"107",90,130,0.000912249849167652,"1",0.167938413052808
"108",90,150,0.000771477634494526,"1",0.149053982956763
"109",90,170,0.000782291697425933,"1",0.146369279830984
"110",90,190,0.000915580159652438,"1",0.1563061947605
"111",90,210,0.00107979200283328,"1",0.169827923843583
"112",90,230,0.0011866437464728,"1",0.178898469606173
"113",90,250,0.00120422064109563,"1",0.178959426938874
"114",90,270,0.00118797908638091,"1",0.175889182379464
"115",90,290,0.00120337741988104,"1",0.17919633966471
"116",90,310,0.00126281606719064,"1",0.192282727588217
"117",90,330,0.00130779166728369,"1",0.205025457427957
"118",90,350,0.00125796127719814,"1",0.204294110583852
"119",90,370,0.00112151981681495,"1",0.191893867864369
"120",90,390,0.00100910482578235,"1",0.178071518453073
"121",90,410,0.00103336348281607,"1",0.176382546758106
"122",90,430,0.00118811393575651,"1",0.188906229729036
"123",90,450,0.0013247630912954,"1",0.203587925747791
"124",90,470,0.00127266283642213,"1",0.211662273121834
"125",90,490,0.000990868613921241,"1",0.212633585167203
"126",110,10,0.000465899994041788,"1",0.120798115495775
"127",110,30,0.000673888343780942,"1",0.13195563615071
"128",110,50,0.00085080884620849,"1",0.145224964676923
"129",110,70,0.000996601478443855,"1",0.16059254871499
"130",110,90,0.00107890047267845,"1",0.171649305567242
"131",110,110,0.00102826892188515,"1",0.169005378940067
"132",110,130,0.00085990272835037,"1",0.152215521471495
"133",110,150,0.000712575875071893,"1",0.134915408573831
"134",110,170,0.000690447325126912,"1",0.130318634057275
"135",110,190,0.000770433925108317,"1",0.136234688253359
"136",110,210,0.000883790835910867,"1",0.145672966140446
"137",110,230,0.000975092286519274,"1",0.153523913744499
"138",110,250,0.00101796482060052,"1",0.156729652229045
"139",110,270,0.00102962317181643,"1",0.157499318482534
"140",110,290,0.00104790216310599,"1",0.161643331460434
"141",110,310,0.00109139863437006,"1",0.172643424592084
"142",110,330,0.00112281270048263,"1",0.182442016615811
"143",110,350,0.00108342511373966,"1",0.180716916698507
"144",110,370,0.000988562522879352,"1",0.171184377606312
"145",110,390,0.000938525583396005,"1",0.164678063817263
"146",110,410,0.00102863017092487,"1",0.172377141696347
"147",110,430,0.0012306076223931,"1",0.191544101399561
"148",110,450,0.00137345942476246,"1",0.20767790579407
"149",110,470,0.00128813094886308,"1",0.212581798205884
"150",110,490,0.000967686446299141,"1",0.207507767885619
"151",130,10,0.000467327748502496,"1",0.120053362869945
"152",130,30,0.000672622830164869,"1",0.130326425711728
"153",130,50,0.000830603314784794,"1",0.140262170432597
"154",130,70,0.000946855211573524,"1",0.150312121441983
"155",130,90,0.00100876849694057,"1",0.156624889433078
"156",130,110,0.000960618975952044,"1",0.152751340279705
"157",130,130,0.00080824771195244,"1",0.138434678765397
"158",130,150,0.000663458702553639,"1",0.123457254715194
"159",130,170,0.000615075386013703,"1",0.117783599136254
"160",130,190,0.000649666034140632,"1",0.120476316068752
